Name,Position,Duration,Search Event,Camera Angle,Club,Stage,Umpire 2,Third Umpire,Game,Tournament,Match Date,Instant Replay Official,Umpire 1,Team,Chukka Length,Year,Set Play,Chukka,Throw-in Outcome,Player,Foul,Foul Type,Foul Outcome,General Field Area,Location,Umpire Trailing,Umpire Focal,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Collision
Game Length,583100,5640166,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Team,Game Length,2020,,,,,,,,,,,,,,,,,,,,,,
Throw-in,583100,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Throw-in,Chukka 1,Palm Beach Equine win throw-in,Gringo Colombres,,,,,,,,,,,,,,,,,,
Chukka Length,586900,692924,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Team,Chukka Length,2020,,Chukka 1,,,,,,,,,,,,,,,,,,,,
Foul,602133,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Lucas Diaz Alberdi,Foul,Dangerous Riding,Penalty 5,Attacking Half,66;84,121;107,53;102,,,,,,,,,,,
Foul Received,602133,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 1,,Joaquin Panelo,Foul Received,Dangerous Riding,Penalty 5,Defending Half,80;211,,,,,,,,,,,,,
Penalty 5,637800,30000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Penalty 5,Chukka 1,,Joaquin Panelo,,,,,,,,,,,,,,,,,,
Knock In,736633,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Knock In,Chukka 1,,Gringo Colombres,,,,,,,,,,,,,,,,,,
Foul (1),741266,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 1,,Hugo Lloret,Foul,Right of Way,Penalty 60 yards,Attacking Half,40;129,109;93,39;45,,,,,,,,,,,
Foul Received (1),741266,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gonzalo Ferrari,Foul Received,Right of Way,Penalty 60 yards,Defending Half,110;171,,,,,,,,,,,,,
Goal Palm Beach Equine,816366,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gringo Colombres,,,,,,,,Goal Palm Beach Equine,,,,,,,,,,
Penalty 60 yards,834666,15000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gringo Colombres,,,,,,,,,Penalty 60 yards,Goal,,,,,,,,
Shot At Goal,861133,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 1,,Mariano Obregon,,,,Attacking 30,69;21,,,,,,Shot At Goal,Goal,,,,,,
Goal Aliano Realty/Horseware,862366,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 1,,Mariano Obregon,,,,Attacking 30,73;8,,,Goal Aliano Realty/Horseware,,,,,Goals,,,,,
Throw-in (1),873700,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Throw-in,Chukka 1,Aliano Realty/Horseware win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,
Throw-in (2),920466,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Throw-in,Chukka 1,Aliano Realty/Horseware win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,
Shot At Goal (1),940766,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Lucas Diaz Alberdi,,,,Attacking 60,55;42,,,,,,Shot At Goal,Wide,,,,,,
Assist,957933,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gonzalo Ferrari,,,,,,,,,,,,,,Unsuccessful,Gonzalo Ferrari,,,
Knock In (1),988600,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Knock In,Chukka 1,,Joaquin Panelo,,,,,,,,,,,,,,,,,,
Foul (2),1008366,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 1,,Hugo Lloret,Foul,Right of Way,Penalty 30 yards,Defending 60,40;256,28;198,75;253,,,,,,,,,,,
Foul Received (2),1008366,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gringo Colombres,Foul Received,Right of Way,Penalty 30 yards,Attacking 60,105;44,,,,,,,,,,,,,
Goal Palm Beach Equine (1),1105433,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gonzalo Ferrari,,,,,,,,Goal Palm Beach Equine,,,,,,,,,,
Penalty 30 yards,1122700,15000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 1,,Gonzalo Ferrari,,,,,,,,,Penalty 30 yards,Goal,,,,,,,,
Shot At Goal (2),1153366,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 1,,Joaquin Panelo,,,,Attacking 30,134;27,,,,,,Shot At Goal,Wide,,,,,,
Throw-in (3),1158933,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Throw-in,Chukka 1,Aliano Realty/Horseware win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,,
Knock In (2),1204166,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Knock In,Chukka 1,,Gringo Colombres,,,,,,,,,,,,,,,,Lucas Diaz Alberdi,,
Chukka Length (1),1284961,763805,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Team,Chukka Length,2020,,Chukka 2,,,,,,,,,,,,,,,,,,,,
Free Hit,1445233,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Free Hit,Chukka 2,,Joaquin Panelo,,,,,,,,,,,,,,,,,,
Knock In (3),1482766,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Knock In,Chukka 2,,Gringo Colombres,,,,,,,,,,,,,,,,,,
Shot At Goal (3),1521333,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 2,,Gonzalo Ferrari,,,,Attacking 30,101;21,,,,,,Shot At Goal,Wide,,,,,,
Assist (1),1539533,25000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 2,,Lucas Diaz Alberdi,,,,,,,,,,,,,,Unsuccessful,Lucas Diaz Alberdi,,,
Knock In (4),1568033,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Knock In,Chukka 2,,Joaquin Panelo,,,,,,,,,,,,,,,,Mariano Obregon,,
Shot At Goal (4),1572766,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 2,,Mariano Obregon,,,,Attacking 30,79;15,,,,,,Shot At Goal,Goal,,,,,,
Goal Aliano Realty/Horseware (1),1574300,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,,Chukka 2,,Mariano Obregon,,,,Attacking 30,75;8,,,Goal Aliano Realty/Horseware,,,,,Goals,,,,,
Shot At Goal (5),1719766,35000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,,Chukka 2,,Gringo Colombres,,,,Attacking 30,91;15,,,,,,Shot At Goal,Wide,,,,,,
Throw-in (4),1730433,20000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Palm Beach Equine,,2020,Throw-in,Chukka 2,Palm Beach Equine win throw-in,Gringo Colombres,,,,,,,,,,,,,,,,,,
Knock In (5),1763266,40000,Search Livestream,Live,International Polo Club,Group,Ronnie Hayes,Horton Schwartz,Aliano Realty/Horseware vs Palm Beach Equine,Ylvisaker Cup,January 16. 2020,Hector Galindo,Kevin Fawcett,Aliano Realty/Horseware,,2020,Knock In,Chukka 2,,Joaquin Panelo,,,,,,,,,,,,,,,,,,
