Name,Position,Duration,Tournament,Game,Stage,Match Date,Umpire 2,Umpire 1,Third Umpire,Instant Replay Official,Search Event,Camera Angle,Team,Chukka,Club,Year,Set Play,Player,Throw-in Outcome,Foul,Foul Outcome,Location,General Field Area,Foul Type,Umpire Focal,Umpire Trailing,Chukka Length,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Knock-in Player 2,Assist,Assist Outcome,Penalty Block
Throw-in,875400,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Throw-in,Jeff Hall,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Foul,878366,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Hugo Lloret,,Foul,Penalty 30 yards,116;206,Defending Half,Right of Way,98;131,35;159,,,,,,,,,,,
Foul Received,878366,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,Foul Received,Penalty 30 yards,26;76,Attacking Half,Right of Way,,,,,,,,,,,,,
Game Length,879533,6527500,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,,International Polo Club,2020,,,,,,,,,,,Game Length,,,,,,,,,,
Chukka Length,879566,764400,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 1,International Polo Club,2020,,,,,,,,,,,Chukka Length,,,,,,,,,,
Goal La Indiana,924100,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,,,76;2,Attacking 30,,,,,Goal La Indiana,,,,,,,,,
Penalty 30 yards,940100,15000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,,
Shot At Goal,973333,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,,,79;12,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (1),974533,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,,,78;4,Attacking 30,,,,,Goal La Indiana,,,,,Goals,,,,
Throw-in (1),976633,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Throw-in,Jeff Hall,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Throw-in (2),1035366,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Throw-in,Hugo Lloret,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Foul (1),1063766,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Joaquin Panelo,,Foul,Penalty 30 yards,85;256,Defending 60,Riding Into Shot,83;58,40;85,,,,,,,,,,,
Foul Received (1),1063766,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Michael Bickford,,Foul Received,Penalty 30 yards,66;27,Attacking 30,Riding Into Shot,,,,,,,,,,,,,
Penalty 30 yards (1),1104200,15000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,Penalty 30 yards,Wide,,,,,,,
Knock In,1124233,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Knock In,Joaquin Panelo,,,,,,,,,,,,,,,,Mariano Obregon,,,
Shot At Goal (1),1169633,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Joaquin Panelo,,,,55;29,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Knock In (1),1219566,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Knock In,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Foul (2),1220433,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Mariano Obregon,,Foul,Penalty 5B,54;52,Attacking 60,Crossing,56;276,120;227,,,,,,,,,,,
Foul Received (2),1220433,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,Foul Received,Penalty 5B,95;239,Defending 60,Crossing,,,,,,,,,,,,,
Shot At Goal (2),1269633,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Michael Bickford,,,,57;34,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (2),1273300,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Michael Bickford,,,,76;6,Attacking 30,,,,,Goal La Indiana,,,,,,,,,
Assist,1284500,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Esteban Panelo,,,,,,,,,,,,,,,,,Esteban Panelo,Successful,
Penalty 5b,1287463,30000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Penalty 5b,Esteban Panelo,,,,,,,,,,,,,,,,,,,
Throw-in (3),1329000,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Throw-in,Mariano Obregon,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
