Name,Position,Duration,Umpire 1,Search Event,Match Date,Club,Instant Replay Official,Chukka,Year,Camera Angle,Team,Umpire 2,Tournament Handicap,Third Umpire,Goal,Tournament,Stage,Country,Game,Set Play,Throw-in Outcome,Player,Foul,Location,General Field Area,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Penalty Block,Assist Outcome,Assist,Knock-in Player 2
Handicap Goal Antelope ,0,1000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Team,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Handicap Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,,,,,,,,,,,,,,,
Throw-in,0,18069,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Segundo Saravi,,,,,,,,,,,,,,
Foul,12126,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Greg Hanson,Foul,137;240,Defending 60,Right of Way,Penalty 30 yards,,,,,,,,,
Foul Received,12126,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,9;57,Attacking 60,Right of Way,Penalty 30 yards,,,,,,,,,
Goal Antelope ,58655,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,75;8,Attacking 30,,,,,,,,,,,
Penalty 30 yards,76352,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,,,,,Penalty 30 yards,Goal,,,,,,,
Throw-in (1),115019,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Santi Trotz,,,,,,,,,,,,,,
Non Call,123336,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Team,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,,Non Call,,,Right of Way,,,,,,,,,,
Foul (1),128041,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul,10;176,Defending Half,Blocking,Penalty 60 yards,,,,,,,,,
Foul Received (1),128041,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,141;121,Attacking Half,Blocking,Penalty 60 yards,,,,,,,,,
