Assist,Assist Outcome,Camera Angle,Chukka,Club,Country,Duration,Foul,Foul Outcome,Foul Type,Game,General Field Area,Goal,Highlight Reel,Instant Replay Official,Knock-in Player 2,Location,Match Date,Name,Penalties,Penalty Block,Penalty Outcome,Player,Position,Search Event,Set Play,Shot At Goal,Shot At Goal Outcome,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Tournament Handicap,Umpire 1,Umpire 2,Umpire Focal,Umpire Trailing,Year
,,Live,Chukka 1,International Polo Club Palm Beach,USA,6000,,,,Beverly Polo vs Aspen,,Handicap Goal Beverly Polo,,Unknown,,,January 20. 2021,Handicap Goal Beverly Polo (1),,,,,199800,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,6000,,,,Beverly Polo vs Aspen,,Handicap Goal Beverly Polo,,Unknown,,,January 20. 2021,Handicap Goal Beverly Polo,,,,,199800,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,20000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Throw-in (16),,,,Hilario Figueras,203700,Search Livestream,Throw-in,,,Group,Beverly Polo,Horton Schwartz,Beverly Polo win throw-in,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 5,Right of Way,Beverly Polo vs Aspen,Defending Half,,,Unknown,,15;188,January 20. 2021,Foul Received (10),,,,Lucas James,221766,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,25000,Foul,Penalty 5,Right of Way,Beverly Polo vs Aspen,Attacking Half,,,Unknown,,128;104,January 20. 2021,Foul,,,,Peke Gonzalez,221766,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,146;102,103;113,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,30000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 5,,,,Stewart Armstrong,257885,Search Livestream,Penalty 5,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,20000,Non Call,,Right of Way,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Non Call (7),,,,,282833,Search Livestream,,,,Group,Team,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 5,Riding Into Shot,Beverly Polo vs Aspen,Defending Half,,,Unknown,,143;183,January 20. 2021,Foul Received (11),,,,Stewart Armstrong,306500,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,25000,Foul,Penalty 5,Riding Into Shot,Beverly Polo vs Aspen,Attacking Half,,,Unknown,,9;121,January 20. 2021,Foul (1),,,,Hilario Figueras,306500,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,8;118,51;103,2021
,,Live,Chukka 1,International Polo Club Palm Beach,USA,30000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 5 (1),,,,Lucas James,342666,Search Livestream,Penalty 5,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
