Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,General Field Area,Location,Goal,Set Play,Throw-in Outcome,Match Date,Umpire 1,Game,Third Umpire,Tournament,Stage,Country,Umpire 2,Search Event,Year,Tournament Handicap,Club,Camera Angle,Instant Replay Official,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Assist,Assist Outcome,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Collision
Handicap Goal Beverly Polo,629233,6000,Chukka 1,Team,,,,,,,,,Handicap Goal Beverly Polo,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in,632000,20000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul,654233,25000,Chukka 1,Beverly Polo,Tolito Ocampo,Foul,Penalty 5,Near Side,93;74,130;125,Attacking Half,119;99,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received,654233,25000,Chukka 1,Santa Clara,Lucas Escobar,Foul Received,Penalty 5,Near Side,,,Defending Half,18;192,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 5,684420,30000,Chukka 1,Santa Clara,Matias Magrini,,,,,,,,,Penalty 5,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul (1),702133,25000,Chukka 1,Santa Clara,Keko Magrini,Foul,Penalty 5,Right of Way,71;101,13;117,Attacking Half,3;76,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (1),702133,25000,Chukka 1,Beverly Polo,Lucas Diaz Alberdi,Foul Received,Penalty 5,Right of Way,,,Defending Half,146;220,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 5 (1),730233,30000,Chukka 1,Beverly Polo,Hilario Figueras,,,,,,,,,Penalty 5,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Collision,746500,15000,Chukka 1,Beverly Polo,Lucas Diaz Alberdi,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,Collision
Shot At Goal,1476766,35000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,Attacking 30,41;35,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Throw-in (1),1496566,20000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Knock In,1520700,40000,Chukka 1,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (1),1545433,35000,Chukka 1,Santa Clara,Lucas Escobar,,,,,,Attacking 30,85;33,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Assist,1563566,25000,Chukka 1,Santa Clara,Keko Magrini,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Keko Magrini,Unsuccessful,,,,,
Knock In (1),1593954,40000,Chukka 1,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Tolito Ocampo,,
Shot At Goal (2),1624133,35000,Chukka 1,Santa Clara,Luis Escobar,,,,,,Attacking 60,69;45,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Goal,,,,,,,,
Goal Santa Clara,1627100,35000,Chukka 1,Santa Clara,Luis Escobar,,,,,,Attacking 30,73;3,Goal Santa Clara,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in (2),1688350,20000,Chukka 1,Beverly Polo,Peke Gonzalez,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (3),1709400,35000,Chukka 1,Santa Clara,Keko Magrini,,,,,,Attacking 30,76;6,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Goal,,,,,,,,
Goal Santa Clara (1),1710533,35000,Chukka 1,Santa Clara,Keko Magrini,,,,,,Attacking 30,75;2,Goal Santa Clara,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Non Call,1715233,20000,Chukka 1,Team,,Non Call,,Right of Way,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in (3),1770333,20000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (4),1772333,35000,Chukka 1,Santa Clara,Luis Escobar,,,,,,Attacking 60,106;53,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Assist (1),1789766,25000,Chukka 1,Santa Clara,Keko Magrini,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Keko Magrini,Unsuccessful,,,,,
Knock In (2),1818900,40000,Chukka 1,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Knock In (3),2023300,40000,Chukka 2,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Non Call (1),2026533,20000,Chukka 2,Team,,Non Call,,Right of Way,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
