Name,Position,Duration,Camera Angle,Chukka,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Set Play,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Year,General Field Area,Location,Shot At Goal,Shot At Goal Outcome,Goal,Assist,Assist Outcome,Penalties,Penalty Outcome,Foul,Foul Outcome,Foul Type,Knock-in Player 2,Penalty Block,Highlight Reel
Throw-in (1),21693,20000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alejandro Muzzio,Search Livestream,Throw-in,Group,Park Place,Unknown,Park Place win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Shot At Goal (1),27824,35000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alejandro Muzzio,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,64;17,Shot At Goal,Goal,,,,,,,,,,,
Goal Park Place (1),28691,35000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alejandro Muzzio,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,80;7,,,Goal Park Place,,,,,,,,,,
Assist (1),44426,25000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Alfredo Bigatti,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Alfredo Bigatti,Successful,,,,,,,,
Throw-in (2),65303,20000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Julian de Lusarreta,Search Livestream,Throw-in,Group,Coca-Cola,Unknown,Coca-Cola win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Goal Coca-Cola (1),97227,35000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,79;11,,,Goal Coca-Cola,,,,,,,,,,
Safety 60 (1),115191,15000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Safety 60,Goal,,,,,,
Throw-in (3),130301,20000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Felipe Viana,Search Livestream,Throw-in,Group,Park Place,Unknown,Park Place win throw-in,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Goal Coca-Cola (2),147944,35000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Nico Pieres,Search Livestream,,Group,Coca-Cola,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Attacking 30,77;7,,,Goal Coca-Cola,,,,,,,,,,
Foul (1),149496,25000,Live,Chukka 1,International Polo Club,Coca-Cola vs Park Place,Unknown,February 20. 2020,Felipe Viana,Search Livestream,,Group,Park Place,Unknown,,C.V. Whitney Cup,Unknown,Unknown,2020,Defending 60,121;231,,,,,,,,Foul,Penalty 30 yards,Riding Into Shot,,,
