Name,Position,Duration,Umpire 2,Stage,Club,Third Umpire,Tournament,Country,Umpire 1,Instant Replay Official,Search Event,Match Date,Game,Camera Angle,Tournament Handicap,Set Play,Chukka,Year,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Penalty Block,Knock-in Player 2,Foul Outcome,Penalties,Penalty Outcome
Throw-in,0,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 1,2021,Cavallo Ranch win throw-in,Remy Muller,Cavallo Ranch,,,,,,,,,,,,,,,
Shot At Goal,65880,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Tommy Alberdi,Cavallo Ranch,Shot At Goal,76;49,Attacking 60,Goal,,,,,,,,,,,
Goal Cavallo Ranch,68682,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Tommy Alberdi,Cavallo Ranch,,76;3,Attacking 30,,Goal Cavallo Ranch,Goals,,,,,,,,,
Shot At Goal (1),84759,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Ben Soleimani,Cavallo Ranch,Shot At Goal,74;52,Attacking 60,Goal,,,,,,,,,,,
Goal Cavallo Ranch (1),88195,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Ben Soleimani,Cavallo Ranch,,76;1,Attacking 30,,Goal Cavallo Ranch,Goals,,,,,,,,,
Throw-in (1),95717,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 1,2021,Cavallo Ranch win throw-in,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,,
Assist,103195,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Successful,Tommy Alberdi,,,,,,,
Throw-in (2),115130,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 1,2021,JC Polo/Folded Hills win throw-in,Will Busch,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Shot At Goal (2),130407,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,JC Polo/Folded Hills Player 4,JC Polo/Folded Hills,Shot At Goal,67;71,Attacking 60,Blocked,,,,,,,,,,,
Shot At Goal (3),137311,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,Will Busch,JC Polo/Folded Hills,Shot At Goal,90;22,Attacking 30,Wide,,,,,,,,,,,
Non Call,147640,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,,Team,,,,,,,,,Non Call,Right of Way,,,,,
Shot Block,156524,10000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,John Bickford,Cavallo Ranch,,,,,,,,,,,Shot Block,,,,
Non Call (1),158247,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,,Team,,,,,,,,,Non Call,Right of Way,,,,,
Shot At Goal (4),189129,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,John Bickford,Cavallo Ranch,Shot At Goal,78;18,Attacking 30,Goal,,,,,,,,,,,
Goal Cavallo Ranch (2),190997,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 1,2021,,John Bickford,Cavallo Ranch,,77;2,Attacking 30,,Goal Cavallo Ranch,,,,,,,,,,
