Name,Position,Duration,Game,Stage,Match Date,Tournament,Umpire 2,Club,Year,Team,Instant Replay Official,Chukka,Umpire 1,Camera Angle,Search Event,Third Umpire,Goal,Set Play,Throw-in Outcome,Player,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block,Assist Outcome,Assist,Collision
Handicap Goal Cessna,276966,6000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,Handicap Goal Cessna,,,,,,,,,,,,,,,,,,,,,
Throw-in,280266,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,Throw-in,Cessna win throw-in,Felipe Marquez,,,,,,,,,,,,,,,,,,
Game Length,281500,8288150,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Game Length,,,,,,,,,,,,,,,,,
Chukka Length,282466,719166,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal,290866,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,,,Nicolas Saenz,,Shot At Goal,Attacking 60,9;75,Short,,,,,,,,,,,,,
Free Hit,312300,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,Free Hit,,Nicolas Saenz,,,,,,,,,,,,,,,,,,
Goal Coca-Cola,335100,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,Goal Coca-Cola,,,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Foul,349066,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,,,Felipe Marquez,,,Defending 30,66;286,,Foul,Right of Way,Penalty 1,98;230,17;276,,,,,,,,
Foul Received,349066,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,,,Julian de Lusarreta,,,Attacking 30,66;17,,Foul Received,Right of Way,Penalty 1,,,,,,,,,,
Penalty 1,360100,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,,,Julian de Lusarreta,,,,,,,,,,,Penalty 1,Goal,,,,,,
Penalty 5b,432300,30000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 1,Kimo Huddleston,Live,Search Livestream,George,,Penalty 5b,,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
