Name,Position,Duration,Chukka,Team,Player,Game,Set Play,Stage,Tournament,Umpire 2,Search Event,Match Date,Camera Angle,Club,Throw-in Outcome,Umpire 1,Third Umpire,Instant Replay Official,Year,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Knock-in Player 2,Foul,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Goal,Assist,Assist Outcome,Penalty Block,Collision,Chukka Length,Highlight Reel,Umpire Focal,Umpire Trailing
Shot At Goal,61066,35000,Chukka 1,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 60,87;70,,,,,,,,,,,,,,,
Throw-in,76166,20000,Chukka 1,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Chukka Length,77200,715307,Chukka 1,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,Chukka Length,,,
Game Length,77548,5524143,,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,Game Length,,,
Knock In,110191,40000,Chukka 1,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,,,,,,,
Foul,136066,25000,Chukka 1,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,45;221,,Foul,Penalty 30 yards,Dangerous Use of Mallet,,,,,,,,,,35;208,79;263
Foul Received,136066,25000,Chukka 1,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 60,99;75,,Foul Received,Penalty 30 yards,Dangerous Use of Mallet,,,,,,,,,,,
Yellow Card,219933,10000,Chukka 1,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,Yellow Card,,Dangerous Use of Mallet,,,,,,,,,,,
Goal Cessna,229233,35000,Chukka 1,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,Goal Cessna,,,,,,,,
Penalty 30 yards,246233,15000,Chukka 1,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Foul (1),280233,25000,Chukka 1,Cessna,Felipe Marquez,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,105;174,,Foul,Penalty 40 yards,Right of Way,,,,,,,,,,108;177,132;163
Foul Received (1),280233,25000,Chukka 1,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking Half,49;126,,Foul Received,Penalty 40 yards,Right of Way,,,,,,,,,,,
Throw-in (1),284166,20000,Chukka 1,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Goal Dutta Corp,338166,35000,Chukka 1,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,Goal Dutta Corp,,,,,,,,
Penalty 40 yards,354366,15000,Chukka 1,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,Penalty 40 yards,Goal,,,,,,,,,
Throw-in (2),387833,20000,Chukka 1,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Cessna win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (39),400059,35000,Chukka 1,Dutta Corp,Unknown,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,69;18,,,,,,,,,,,,,,,
Goal Dutta Corp (11),400059,35000,Chukka 1,Dutta Corp,Unknown,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,Goal Dutta Corp,,,,,,,,
Shot At Goal (40),415924,35000,Chukka 1,Cessna Polo Team,Unknown,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,86;18,,,,,,,,,,,,,,,
Goal Cessna (5),415924,35000,Chukka 1,Cessna Polo Team,Unknown,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,Goal Cessna,,,,,,,,
Goal Dutta Corp (1),582400,35000,Chukka 1,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,Goal Dutta Corp,,,,,,,,
Safety 60,599700,15000,Chukka 1,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,Safety 60,Goal,,,,,,,,,
Throw-in (3),634666,20000,Chukka 1,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Throw-in (4),681066,20000,Chukka 1,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Cessna win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Shot At Goal (1),726833,35000,Chukka 1,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Goal,Attacking 30,74;15,,,,,,,,,,,,,,,
Goal Dutta Corp (2),729533,35000,Chukka 1,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking 30,72;8,,,,,,,Goal Dutta Corp,,,,,,,,
Assist,744533,25000,Chukka 1,Dutta Corp,Lucas Diaz Alberdi,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,Lucas Diaz Alberdi,Successful,,,,,,
Shot At Goal (2),930833,35000,Chukka 2,Dutta Corp,Timmy Dutta,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 30,53;12,,,,,,,,,,,,,,,
Throw-in (5),941333,20000,Chukka 2,Dutta Corp,Facundo Obregon,Cessna vs Dutta Corp,Throw-in,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,Dutta Corp win throw-in,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (1),944266,605847,Chukka 2,Team,,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,Chukka Length,,,
Assist (1),945833,25000,Chukka 2,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,Mariano Obregon,Unsuccessful,,,,,,
Knock In (1),984200,40000,Chukka 2,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Knock In,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,,,,,,,
Foul (2),1009633,25000,Chukka 2,Dutta Corp,Mariano Obregon,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Defending Half,140;190,,Foul,Penalty 5,Crossing,,,,,,,,,,110;202,146;177
Foul Received (2),1009633,25000,Chukka 2,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,Attacking Half,11;109,,Foul Received,Penalty 5,Crossing,,,,,,,,,,,
Shot At Goal (3),1079466,35000,Chukka 2,Cessna,Nicolas ‘Nico’ Saenz,Cessna vs Dutta Corp,,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,Shot At Goal,Wide,Attacking 60,76;53,,,,,,,,,,,,,,,
Penalty 5,1090124,30000,Chukka 2,Cessna,Felipe Marquez,Cessna vs Dutta Corp,Penalty 5,Group,USPA Gold Cup,Unknown,Search Live stream,February 24. 2020,Live,International Polo Club,,Unknown,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,
