Name,Position,Duration,Tournament,Game,Stage,Match Date,Third Umpire,Umpire 2,Search Event,Club,Umpire 1,Instant Replay Official,Camera Angle,Year,Chukka,Foul,Team,Player,Location,General Field Area,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Chukka Length,Goal,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Assist Outcome,Assist,Penalty Block,Highlight Reel,Penalties,Penalty Outcome,Fouler
Foul,770600,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul,La Indiana,Jeff Hall,133;168,Defending Half,Blocking,Penalty 5,141;194,75;168,,,,,,,,,,,,,,
Game Length,779000,6305433,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,,,Team,,,,,,,,Game Length,,,,,,,,,,,,,
Handicap Goal Cessna,779933,6000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Team,,,,,,,,,Handicap Goal Cessna,,,,,,,,,,,,
Throw-in,784100,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Chukka Length,787966,550500,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Team,,,,,,,,Chukka Length,,,,,,,,,,,,,
Foul Received,791100,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul Received,Cessna,Nicolas ‘Nico’ Saenz,28;127,Attacking Half,Blocking,Penalty 5,,,,,,,,,,,,,,,,
Penalty 5,847500,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Foul (1),868633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,128;68,Attacking 60,Dangerous Use of Mallet,Penalty 5B,71;77,9;61,,,,,,,,,,,,,,
Foul Received (1),868633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Foul Received,La Indiana,Santiago Gomez Romero,24;225,Defending Half,Dangerous Use of Mallet,Penalty 5B,,,,,,,,,,,,,,,,
Yellow Card (1),883866,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 1,Yellow Card,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,,,Dangerous Use of Mallet,Penalty 5B,,,,,,,,,,,,,,,,
