Assist,Assist Outcome,Camera Angle,Chukka,Chukka Length,Club,Collision,Duration,Foul,Foul Outcome,Foul Type,Game,General Field Area,Goal,Highlight Reel,Instant Replay Official,Knock-in Player 2,Location,Match Date,Name,Penalties,Penalty Block,Penalty Outcome,Player,Position,Search Event,Set Play,Shot At Goal,Shot At Goal Outcome,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Umpire Focal,Umpire Trailing,Year
,,Live,Chukka 1,,International Polo Club,,20000,,,,Cessna vs Park Place,,,,Horton Schwartz,,,February 12. 2020,Throw-in,,,,Ezequiel ‘Gallego’ Martinez Ferrario,59866,Search Livestream,Throw-in,,,Group,Cessna,Kimo Huddleston,Cessna win throw-in,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,35000,,,,Cessna vs Park Place,Attacking 30,,,Horton Schwartz,,63;26,February 12. 2020,Shot At Goal,,,,Felipe Viana,113533,Search Livestream,,Shot At Goal,Goal,Group,Park Place,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,35000,,,,Cessna vs Park Place,Attacking 30,Goal Park Place,,Horton Schwartz,,73;4,February 12. 2020,Goal Park Place,,,,Felipe Viana,115033,Search Livestream,,,,Group,Park Place,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
Alejandro Muzzio,Successful,Live,Chukka 1,,International Polo Club,,25000,,,,Cessna vs Park Place,,,,Horton Schwartz,,,February 12. 2020,Assist,,,,Alejandro Muzzio,131266,Search Livestream,,,,Group,Park Place,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,20000,,,,Cessna vs Park Place,,,,Horton Schwartz,,,February 12. 2020,Throw-in (1),,,,Nicolas ‘Nico’ Saenz,173200,Search Livestream,Throw-in,,,Group,Cessna,Kimo Huddleston,Cessna win throw-in,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,35000,,,,Cessna vs Park Place,Attacking 30,,,Horton Schwartz,,141;33,February 12. 2020,Shot At Goal (1),,,,Ezequiel ‘Gallego’ Martinez Ferrario,206900,Search Livestream,,Shot At Goal,Wide,Group,Cessna,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,40000,,,,Cessna vs Park Place,,,,Horton Schwartz,,,February 12. 2020,Knock In,,,,Felipe Viana,254466,Search Livestream,Knock In,,,Group,Park Place,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,20000,Non Call,,Right of Way,Cessna vs Park Place,,,,Horton Schwartz,,,February 12. 2020,Non Call,,,,,255166,Search Livestream,,,,Group,Team,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,35000,,,,Cessna vs Park Place,Attacking 30,,,Horton Schwartz,,83;22,February 12. 2020,Shot At Goal (2),,,,Nicolas ‘Nico’ Saenz,293866,Search Livestream,,Shot At Goal,Goal,Group,Cessna,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,35000,,,,Cessna vs Park Place,Attacking 30,Goal Cessna,,Horton Schwartz,,80;6,February 12. 2020,Goal Cessna,,,,Nicolas ‘Nico’ Saenz,295233,Search Livestream,,,,Group,Cessna,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
,,Live,Chukka 1,,International Polo Club,,6000,,,,Cessna vs Park Place,,Handicap Goal Cessna,,Horton Schwartz,,,February 12. 2020,Handicap Goal Cessna,,,,,342733,Search Livestream,,,,Group,Cessna,Kimo Huddleston,,C.V. Whitney Cup,George Olivas,Ronnie Hayes,,,2020
