Name,Position,Duration,Chukka,Shot At Goal,Year,Match Date,Stage,Umpire 2,Tournament,Instant Replay Official,Search Event,Camera Angle,Umpire 1,Game,Third Umpire,Club,Location,General Field Area,Team,Player,Shot At Goal Outcome,Chukka Length,Goal,Set Play,Throw-in Outcome,Assist Outcome,Assist,Highlight Reel,Foul,Foul Type,Umpire Focal,Umpire Trailing,Foul Outcome,Knock-in Player 2,Penalties,Penalty Outcome,Penalty Block,Collision
Shot At Goal,365466,35000,Chukka 1,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,88;27,Attacking 30,Patagones,Geronimo Obregon,Miss Hit,,,,,,,,,,,,,,,,,
Game Length,370266,5189170,,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Team,,,Game Length,,,,,,,,,,,,,,,,
Handicap Goal Cessna,370766,6000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Team,,,,Handicap Goal Cessna,,,,,,,,,,,,,,,
Chukka Length,374266,650933,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Team,,,Chukka Length,,,,,,,,,,,,,,,,
Throw-in,374300,20000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Chip Campbell,,,,Throw-in,Cessna win throw-in,,,,,,,,,,,,,
Assist,380466,25000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Tomas Garcia del Rio,,,,,,Unsuccessful,Tomas Garcia del Rio,,,,,,,,,,,
Shot At Goal (1),384166,35000,Chukka 1,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,97;21,Attacking 30,Patagones,Santiago Toccalino,Goal,,,,,,,,,,,,,,,,,
Goal Patagones,385966,35000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,71;3,Attacking 30,Patagones,Santiago Toccalino,,,Goal Patagones,,,,,Goals,,,,,,,,,,
Foul,437866,25000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,127;120,Attacking Half,Cessna,Felipe Marquez,,,,,,,,,Foul,Right of Way,81;112,132;149,Penalty 5,,,,,
Foul Received,437866,25000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,19;202,Defending Half,Patagones,Geronimo Obregon,,,,,,,,,Foul Received,Right of Way,,,Penalty 5,,,,,
Throw-in (1),439276,20000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Nicolas Saenz,,,,Throw-in,Cessna win throw-in,,,,,,,,,,,,,
Shot At Goal (2),468500,35000,Chukka 1,Shot At Goal,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,68;27,Attacking 30,Patagones,Gonzalo Avendano,Wide,,,,,,,,,,,,,,,,,
Penalty 5,483066,30000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Tomas Garcia del Rio,,,,Penalty 5,,,,,,,,,,,,,,
Assist (1),483933,25000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Patagones,Tomas Garcia del Rio,,,,,,Unsuccessful,Tomas Garcia del Rio,,,,,,,,,,,
Knock In,512618,40000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Cessna,Felipe Marquez,,,,Knock In,,,,,,,,,,Ezequiel Martinez Ferrario,,,,
Non Call,527733,20000,Chukka 1,,2020,March 09. 2020,Group,Ka'aina DeCoite,USPA Gold Cup,Hector Galindo,Search Livestream,Live,Jamie Mirikitani,Cessna vs Patagones,Julian Appleby,International Polo Club,,,Team,,,,,,,,,,Non Call,Shading,,,,,,,,
