Name,Position,Duration,Tournament,Game,Stage,Umpire 2,Club,Year,Match Date,Third Umpire,Instant Replay Official,Umpire 1,Camera Angle,Search Event,Team,Goal,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Penalty Block
Handicap Goal Cessna,80485,6000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Team,Handicap Goal Cessna,Chukka 1,,,,,,,,,,,,,,,,,,,
Throw-in,95266,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,Throw-in,Tonkawa win throw-in,Ignacio Toccalino,,,,,,,,,,,,,,,,
Shot At Goal,117380,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,,,Ignacio Toccalino,Shot At Goal,Miss Hit,73;25,Attacking 30,,,,,,,,,,,,
Shot At Goal (1),119716,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,,,Matias Gonzalez,Shot At Goal,Miss Hit,80;26,Attacking 30,,,,,,,,,,,,
Foul,157804,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,,,Nicolas Saenz,,,90;234,Defending Half,Foul,Blocking,Penalty 30 yards,137;247,88;202,,,,,,,
Foul Received,157804,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,,,Matias Gonzalez,,,60;63,Attacking 60,Foul Received,Blocking,Penalty 30 yards,,,,,,,,,
Goal Tonkawa,194891,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,Goal Tonkawa,Chukka 1,,,Sapo Caset,,,73;1,Attacking 30,,,,,,,,,,,,
Penalty 30 yards,212624,15000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,,,Sapo Caset,,,,,,,,,,Penalty 30 yards,Goal,,,,,
Throw-in (1),252490,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,Throw-in,Cessna win throw-in,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,
Foul (1),308422,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,,,Ezequiel Martinez Ferrario,,,81;117,Attacking Half,Foul,Right of Way,Penalty 5B,44;102,99;129,,,,,,,
Foul Received (1),308422,25000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,,,Sapo Caset,,,66;177,Defending Half,Foul Received,Right of Way,Penalty 5B,,,,,,,,,
Penalty 5b,378549,30000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,Penalty 5b,,Sapo Caset,,,,,,,,,,,,,,,,
Shot At Goal (2),400163,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,,,Unknown,Shot At Goal,Goal,115;9,Attacking 30,,,,,,,,,,,,
Goal Cessna,407036,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,Goal Cessna,Chukka 1,,,Unknown,,,78;3,Attacking 30,,,,,,,,,,,,
Shot At Goal (3),454083,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,,,Felipe Marquez,Shot At Goal,Miss Hit,80;58,Attacking 60,,,,,,,,,,,,
Shot At Goal (4),461724,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,,,Ezequiel Martinez Ferrario,Shot At Goal,Goal,59;8,Attacking 30,,,,,,,,,,,,
Throw-in (2),462068,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,,Chukka 1,Throw-in,Cessna win throw-in,Felipe Marquez,,,,,,,,,,,,,,,,
Goal Cessna (1),463693,35000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Cessna,Goal Cessna,Chukka 1,,,Ezequiel Martinez Ferrario,,,72;2,Attacking 30,,,,,,,,,,,,
Throw-in (3),522793,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,Throw-in,Tonkawa win throw-in,Ignacio Toccalino,,,,,,,,,,,,,,,,
Free Hit,592029,20000,USPA Gold Cup,Cessna vs Tonkawa,Subsidiary Final,Unknown,International Polo Club,2020,March 17. 2020,Unknown,Unknown,Unknown,Live,Search LiveStream,Tonkawa,,Chukka 1,Free Hit,,Sapo Caset,,,,,,,,,,,,,,,,
