Name,Position,Duration,Assist,Assist Outcome,Camera Angle,Chukka,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Chukka Length,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Set Play,Goal,Highlight Reel,Knock-in Player 2,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Penalty Block,Throw-in Outcome
Assist,867349,25000,Ignacio Laprida,Unsuccessful,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Ignacio Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (1),939916,25000,Nicolas Pieres,Unsuccessful,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (2),1507649,25000,Mariano Gonzalez,Successful,Live,Chukka 1,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Mariano Gonzalez,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (3),1808549,25000,Steve Krueger,Successful,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Steve Krueger,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (4),1872783,25000,Nicolas Pieres,Successful,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Nicolas Pieres,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (5),1932983,25000,Aiden Meeker,Successful,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (6),2201716,25000,Inaki Laprida,Successful,Live,Chukka 2,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (7),3079716,25000,Aiden Meeker,Unsuccessful,Live,Chukka 3,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Aiden Meeker,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (8),4081816,25000,Inaki Laprida,Unsuccessful,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Inaki Laprida,Search Livestream,Group,Equuleus,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (9),4245116,25000,Julian de Lusarreta,Unsuccessful,Live,Chukka 4,International Polo Club,Coca-Cola vs Equuleus,Unknown,February 16. 2020,Julian de Lusarreta,Search Livestream,Group,Coca-Cola,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
