Name,Position,Duration,Tournament,Match Date,Umpire 1,Umpire 2,Stage,Game,Camera Angle,Third Umpire,Chukka,Search Event,Year,Club,Instant Replay Official,Set Play,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Knock-in Player 2,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Umpire Trailing,Umpire Focal,Foul Outcome,Penalties,Penalty Outcome,Penalty Block,Collision
Throw-in,449500,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Inaki Laprida,Equuleus,,,,,,,,,,,,,,,,,,,
Chukka Length,449500,598166,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Game Length,449500,6480066,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Game Length,,,,,,,,,,,,,,,,,,
Shot At Goal,451366,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Julian de Lusarreta,Coca-Cola,,Shot At Goal,Attacking 60,69;74,Wide,,,,,,,,,,,,,,
Knock In,499566,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Mariano Gonzalez,Equuleus,,,,,,Inaki Laprida,,,,,,,,,,,,,
Shot At Goal (1),508833,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Steve Krueger,Coca-Cola,,Shot At Goal,Attacking 30,71;36,Goal,,,,,,,,,,,,,,
Goal Coca-Cola,511933,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Steve Krueger,Coca-Cola,,,Attacking 30,73;7,,,Goal Coca-Cola,Goals,,,,,,,,,,,
Assist,528333,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,,,,,,,Successful,Nicolas Pieres,,,,,,,,,
Foul,563866,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Defending Half,110;163,,,,,,,Foul,Reaching,116;161,30;163,Penalty 5,,,,
Foul Received,563866,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Mariano Gonzalez,Equuleus,,,Attacking Half,33;131,,,,,,,Foul Received,Reaching,,,Penalty 5,,,,
Throw-in (1),563933,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,,,,
Shot At Goal (2),603966,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,Shot At Goal,Attacking 30,76;16,Goal,,,,,,,,,,,,,,
Goal Equuleus,605200,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,,Attacking 30,72;4,,,Goal Equuleus,,,,,,,,,,,,
Penalty 5,612000,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Penalty 5,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,,,,
Assist (1),621400,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,,,,,,,Successful,Inaki Laprida,,,,,,,,,
Throw-in (2),675933,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Coca-Cola win throw-in,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,,,,,,,
Shot At Goal (3),700733,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,Shot At Goal,Attacking 30,67;13,Goal,,,,,,,,,,,,,,
Goal Coca-Cola (1),701633,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking 30,71;4,,,Goal Coca-Cola,,,,,,,,,,,,
Throw-in (3),760833,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Magoo Laprida,Equuleus,,,,,,,,,,,,,,,,,,,
Foul Received (1),811166,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking 60,139;54,,,,,,,Foul Received,Right of Way,,,Penalty 60 yards,,,,
Foul (1),811166,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Defending 60,14;239,,,,,,,Foul,Right of Way,81;216,21;207,Penalty 60 yards,,,,
Penalty 60 yards,908700,15000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,
Penalty Block,915266,10000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,,,,,,,,,,,,,,,,Penalty Block,
Shot At Goal (4),919900,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,Shot At Goal,Attacking 30,134;35,Goal,,,,,,,,,,,,,,
Goal Equuleus (1),923300,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 30,71;3,,,Goal Equuleus,,,,,,,,,,,,
Assist (2),940166,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,,,,,,,,Successful,Magoo Laprida,,,,,,,,,
