Name,Position,Duration,Third Umpire,Umpire 1,Match Date,Search Event,Stage,Camera Angle,Umpire 2,Tournament,Game,Instant Replay Official,Year,Chukka Length,Club,Team,Chukka,Goal,Player,Penalties,Penalty Outcome,Set Play,Throw-in Outcome,Foul,General Field Area,Location,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Highlight Reel,Penalty Block,Knock-in Player 2
Chukka Length,333,388501,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,Chukka Length,International Polo Club,Team,Chukka 1,,,,,,,,,,,,,,,,,,,,
Goal La Indiana,16333,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 1,Goal La Indiana,Unknown,,,,,,,,,,,,,,,,,,
Goal Coca Cola,28766,35000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 1,Goal Coca Cola,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,,
Penalty 60 yards,46733,15000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 1,,Miguel Novillo Astrada,Penalty 60 yards,Goal,,,,,,,,,,,,,,,,
Throw-in,81766,20000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 1,,Jeff Hall,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,,
Foul,159600,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 1,,Santiago Gomez Romero,,,,,Foul,Attacking Half,57;134,Penalty 5,Dangerous Riding,119;181,35;161,,,,,,,
Foul Received,159600,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 1,,Sugar Erskine,,,,,Foul Received,Defending Half,91;161,Penalty 5,Dangerous Riding,,,,,,,,,
Penalty 5,206933,30000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 1,,Miguel Novillo Astrada,,,Penalty 5,,,,,,,,,,,,,,,
Foul (1),232433,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,La Indiana,Chukka 1,,Facundo Obregon,,,,,Foul,Attacking 60,84;49,Penalty 5,Right of Way,133;59,55;86,,,,,,,
Foul Received (1),232433,25000,Kevin Fawcett,Julian Appleby,January 15. 2020,Search Livestream,Group,Live,Kimo Huddleston,Ylvisaker Cup,Coca-Cola vs La Indiana,Ronnie Hayes,2020,,International Polo Club,Coca-Cola,Chukka 1,,Will Johnston,,,,,Foul Received,Defending 60,63;254,Penalty 5,Right of Way,,,,,,,,,
