Name,Position,Duration,Chukka,Player,Team,Foul,Foul Outcome,Foul Type,Goal,Location,General Field Area,Umpire Focal,Umpire Trailing,Set Play,Throw-in Outcome,Assist,Assist Outcome,Camera Angle,Chukka Length,Club,Game,Highlight Reel,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Year
Shot At Goal,434833,35000,Chukka 1,,Team,,,,,46;71,Attacking 60,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in,437233,20000,Chukka 1,Gillian Johnston,Coca-Cola,,,,,,,,,Throw-in,Coca-Cola win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Chukka Length,437233,695829,Chukka 1,,Team,,,,,,,,,,,,,Live,Chukka Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Game Length,438333,5729970,,,Team,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist,457133,25000,Chukka 1,Nicolas Pieres,Coca-Cola,,,,,,,,,,,Nicolas Pieres,Unsuccessful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (1),472566,35000,Chukka 1,David Stirling,Las Monjitas,,,,,69;25,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas,474466,35000,Chukka 1,David Stirling,Las Monjitas,,,,Goal Las Monjitas,71;6,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In,479200,40000,Chukka 1,David Stirling,Las Monjitas,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,Francisco Elizalde,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (1),479700,25000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,,,,,,,,Francisco Elizalde,Successful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (1),530066,20000,Chukka 1,Julian de Lusarreta,Coca-Cola,,,,,,,,,Throw-in,Coca-Cola win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul,574466,25000,Chukka 1,Mackenzie Weisz,Las Monjitas,Foul,Penalty 5B,Cross/High Hook,,73;49,Attacking 60,72;58,136;21,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
