Name,Position,Duration,Third Umpire,Search Event,Camera Angle,Stage,Year,Umpire 2,Instant Replay Official,Club,Umpire 1,Game,Match Date,Set Play,Chukka,Tournament,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Penalty Block
Throw-in,326466,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 1,Ylvisaker Cup,Palm Beach Equine win throw-in,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Chukka Length,329866,535266,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal,346666,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Scott Swerdlin,Palm Beach Equine,,Shot At Goal,Wide,144;77,Attacking Half,,,,,,,,,,,,,
Knock In,401133,40000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Knock In,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,Will Johnston,,,,,,,,,,,,
Foul,421566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,2;88,Attacking Half,,Foul,Blocking,Penalty 5,4;99,85;72,,,,,,,
Foul Received,421566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,,,146;215,Defending Half,,Foul Received,Blocking,Penalty 5,,,,,,,,,
Shot At Goal (1),463466,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,Shot At Goal,Goal,94;101,Attacking Half,,,,,,,,,,,,,
Goal Coca-Cola,467866,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,Goals,,,,,
Penalty 5,468700,30000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Penalty 5,Chukka 1,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,
Throw-in (1),520233,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 1,Ylvisaker Cup,Coca-Cola win throw-in,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,,,
