Name,Position,Duration,Game,Tournament,Match Date,Stage,Umpire 1,Third Umpire,Instant Replay Official,Umpire 2,Camera Angle,Year,Search Event,Club,Chukka,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Player,Team,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Highlight Reel
Shot At Goal,132300,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Wide,Attacking 60,78;54,Benjamin Avendano,Patagones,,,,,,,,,,,,,,,,
Throw-in,139866,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santi Toccalino,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Chukka Length,143700,692283,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,,Team,,,Chukka Length,,,,,,,,,,,,,
Assist,148900,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santiago Wulff,Patagones,,,,Unsuccessful,Santiago Wulff,,,,,,,,,,,
Knock In,178900,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Miguel Novillo Astrada,Coca-Cola,Knock In,,,,,Sugar Erskine,,,,,,,,,,
Free Hit,251166,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santi Toccalino,Patagones,Free Hit,,,,,,,,,,,,,,,
Shot At Goal (1),260300,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Blocked,Attacking 60,69;51,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,
Shot Block,288166,10000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santiago Wulff,Patagones,,,,,,,Shot Block,,,,,,,,,
Foul,303100,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking Half,62;77,Santi Toccalino,Patagones,,,,,,,,Foul,Riding Into Shot,Penalty 5,30;65,113;90,,,,
Foul Received,303100,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Defending Half,90;218,Sugar Erskine,Coca-Cola,,,,,,,,Foul Received,Riding Into Shot,Penalty 5,,,,,,
Penalty 5,439866,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5,,,,,,,,,,,,,,,
Shot At Goal (2),480200,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Goal,Attacking 30,64;18,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola,481366,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking 30,80;7,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,
Assist (1),496733,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Gillian Johnston,Coca-Cola,,,,Successful,Gillian Johnston,,,,,,,,,,,
Throw-in (1),554433,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Will Johnston,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Foul Received (1),581233,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking Half,79;117,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul Received,Dangerous Riding,Penalty 40 yards,,,,,,
