Name,Position,Duration,Tournament,Stage,Game,Year,Match Date,Chukka,Umpire 1,Instant Replay Official,Third Umpire,Camera Angle,Club,Set Play,Umpire 2,Search Event,Throw-in Outcome,Team,Player,Chukka Length,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Goal,Penalties,Penalty Outcome,Highlight Reel,Penalty Block,Collision
Throw-in,770733,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Daily Racing Form win throw-in,Daily Racing Form,Costi Caset,,,,,,,,,,,,,,,,,,,
Game Length,774133,6293400,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Game Length,,,,,,,,,,,,,,,,,,
Chukka Length,775566,590847,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,779600,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,Shot At Goal,146;97,Attacking Half,Short,,,,,,,,,,,,,,
Assist,796666,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,,,,Unsuccessful,Costi Caset,,,,,,,,,,,,
Shot At Goal (1),824300,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,Shot At Goal,7;75,Attacking 60,Wide,,,,,,,,,,,,,,
Free Hit,846200,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Free Hit,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Knock In,867933,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,Nachi Du Plessis,,,,,,,,,,,
Foul Received,915133,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,55;265,Defending 60,,,,,Foul Received,Turning,Penalty 5,,,,,,,,
Foul,915133,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Henry Porter,,,93;22,Attacking 30,,,,,Foul,Turning,Penalty 5,15;109,39;103,,,,,,
Penalty 5,962300,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Shot At Goal (2),976233,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,Shot At Goal,129;99,Attacking Half,Wide,,,,,,,,,,,,,,
Assist (1),990831,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,,,,Unsuccessful,Agustin Obregon,,,,,,,,,,,,
Knock In (1),1030900,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,,,,,,,,,,,,
Foul (1),1068666,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,5;113,Attacking Half,,,,,Foul,Right of Way,Penalty 5,80;136,7;133,,,,,,
Foul Received (1),1068766,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,146;188,Defending Half,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
