Name,Position,Duration,Club,Umpire 1,Third Umpire,Search Event,Camera Angle,Match Date,Chukka,Set Play,Game,Stage,Umpire 2,Instant Replay Official,Tournament,Throw-in Outcome,Team,Player,Year,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Knock-in Player 2,Assist Outcome,Assist,Highlight Reel,Penalties,Penalty Outcome,Collision,Penalty Block
Throw-in,424100,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,,,,
Game Length,427633,6855433,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Chukka Length,428300,211961,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,476800,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,Shot At Goal,Goal,61;59,Attacking 60,,,,,,,,,,,,,,
Goal Daily Racing Farm,480333,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,,,,,
Foul,531800,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,,,128;130,Attacking Half,,Foul,Dangerous Riding,Penalty 5,70;124,131;168,,,,,,,,
Foul Received,531800,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,28;163,Defending Half,,Foul Received,Dangerous Riding,Penalty 5,,,,,,,,,,
Throw-in (1),538233,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,,,,
Penalty 5,577666,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Foul (1),595166,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,,,122;118,Attacking Half,,Foul,Right of Way,Penalty 5,134;158,71;181,,,,,,,,
