Name,Position,Duration,Match Date,Umpire 1,Game,Stage,Tournament,Instant Replay Official,Search Event,Camera Angle,Umpire 2,Third Umpire,Year,Team,Chukka Length,Club,Chukka,Player,Set Play,Throw-in Outcome,Location,General Field Area,Shot At Goal,Shot At Goal Outcome,Goal,Assist Outcome,Assist,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block,Collision
Chukka Length,197864,823889,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,Chukka Length,International Polo Club,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Throw-in,197869,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Agustin Obregon,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal,198428,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Jared Zenni,,,139;77,Attacking Half,Shot At Goal,Goal,,,,,,,,,,,,,,
Game Length,202202,6286563,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Team,Game Length,International Polo Club,,,,,,,,,,,,,,,,,,,,,,
Goal Daily Racing Form,206769,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Jared Zenni,,,76;4,Attacking 30,,,Goal Daily Racing Form,,,,,,,,,,,,,
Assist,231980,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Costi Caset,,,,,,,,Successful,Costi Caset,,,,,,,,,,,
Throw-in (1),259981,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Costi Caset,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,,,,,
Foul,278625,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 1,Santiago Toccalino,,,86;267,Defending 30,,,,,,Foul,Penalty 30 yards,Right of Way,122;283,63;212,,,,,,
Foul Received,278625,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Agustin Obregon,,,67;33,Attacking 30,,,,,,Foul Received,Penalty 30 yards,Right of Way,,,,,,,,
Goal Daily Racing Form (1),332395,35000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Jared Zenni,,,,,,,Goal Daily Racing Form,,,,,,,,,,,,,
Penalty 30 yards,349575,15000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Jared Zenni,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Throw-in (2),385673,20000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Daily Racing Form,,International Polo Club,Chukka 1,Tomas Collingwood,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,,,,,
Foul (1),396726,25000,February 16. 2020,Unknown,Daily Racing Form vs Patagones,Group,C.V. Whitney Cup,Unknown,Search Livestream,Live,Unknown,Unknown,2020,Patagones,,International Polo Club,Chukka 1,Tomas Garcia del Rio,,,9;115,Attacking Half,,,,,,Foul,Penalty 5,Cross/High Hook,21;120,51;79,,,,,,
