Name,Position,Duration,Stage,Third Umpire,Instant Replay Official,Umpire 1,Umpire 2,Match Date,Search Event,Year,Camera Angle,Chukka,Shot At Goal,Club,Tournament,Game,Shot At Goal Outcome,Location,General Field Area,Player,Team,Goal,Highlight Reel,Set Play,Throw-in Outcome,Chukka Length,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Collision
Shot At Goal,311500,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Goal,76;15,Attacking 30,Alfonso Pieres,Pilot,,,,,,,,,,,,,,,,
Goal Pilot,314266,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Alfonso Pieres,Pilot,Goal Pilot,Goals,,,,,,,,,,,,,,
Handicap Goal Daily Racing Farm,314400,6000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,Handicap Goal Daily Racing Farm,,,,,,,,,,,,,,,
Throw-in,316166,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Costi Caset,Daily Racing Form,,,Throw-in,Daily Racing Farm win throw-in,,,,,,,,,,,,
Game Length,320133,5307400,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,Game Length,,,,,,,,,,,
Chukka Length,320633,655049,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,,Team,,,,,Chukka Length,,,,,,,,,,,
Throw-in (1),367933,20000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Gonzalito Pieres,Pilot,,,Throw-in,Pilot win throw-in,,,,,,,,,,,,
Shot At Goal (1),392433,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Wide,96;52,Attacking 60,Lucas Escobar,Pilot,,,,,,,,,,,,,,,,
Knock In,442766,40000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,,,,Jared Zenni,Daily Racing Form,,,Knock In,,,Agustin Obregon,,,,,,,,,,
Shot At Goal (2),501166,35000,Group,Jamie Mirikitani,Kimo Huddleston,Julian Appleby,George Olivas,January 18. 2020,Search Livestream,2020,Live,Chukka 1,Shot At Goal,International Polo Club,Ylvisaker Cup,Daily Racing Form vs Pilot,Wide,3;99,Attacking Half,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,
