Name,Position,Duration,Game,Tournament,Stage,Match Date,Umpire 1,Umpire 2,Third Umpire,Instant Replay Official,Search Event,Year,Camera Angle,Club,Shot At Goal,Chukka,Shot At Goal Outcome,General Field Area,Location,Team,Player,Highlight Reel,Goal,Chukka Length,Set Play,Throw-in Outcome,Foul,Foul Type,Penalty Block,Assist Outcome,Assist,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Search,Country
Shot At Goal,196000,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 1,Goal,Attacking 30,73;12,Daily Racing Form,Costi Caset,,,,,,,,,,,,,,,,,,,
Goal Daily Racing Form,196700,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Daily Racing Form,Costi Caset,Goals,Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Handicap Goal Daily Racing Form,203433,6000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Team,,,Handicap Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Chukka Length,206366,509366,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,Chukka 1,,,,Team,,,,Chukka Length,,,,,,,,,,,,,,,,
Game Length,206366,5455766,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,,,,,Team,,,,Game Length,,,,,,,,,,,,,,,,
Throw-in,207266,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Daily Racing Form,Costi Caset,,,,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,
Throw-in (1),255433,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Stable Door Polo,Henry Porter,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Non Call,296300,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Team,,,,,,,Non Call,Turning,,,,,,,,,,,,
Shot Block,298933,10000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Daily Racing Form,Costi Caset,,,,,,,,Shot Block,,,,,,,,,,,
Shot At Goal (1),303933,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 1,Blocked,Attacking 30,76;15,Stable Door Polo,Henry Porter,,,,,,,,,,,,,,,,,,,
Assist,319966,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Stable Door Polo,Robert Orthwein,,,,,,,,,Unsuccessful,Robert Orthwein,,,,,,,,,
Shot At Goal (2),357066,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,Shot At Goal,Chukka 1,Goal,Attacking 30,69;17,Stable Door Polo,Santino Magrini,,,,,,,,,,,,,,,,,,,
Goal Stable Door Polo,357966,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Stable Door Polo,Santino Magrini,,Goal Stable Door Polo,,,,,,,,,,,,,,,,,
Throw-in (2),418733,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Stable Door Polo,Henry Porter,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Foul,440233,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,Defending 30,94;288,Daily Racing Form,Costi Caset,,,,,,Foul,Blocking,,,,Penalty 30 yards,59;276,81;238,,,,,,
Foul Received,440233,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,Attacking 30,62;17,Stable Door Polo,Henry Porter,,,,,,Foul Received,Blocking,,,,Penalty 30 yards,,,,,,,,
Goal Stable Door Polo (1),463200,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 1,,,,Stable Door Polo,Henry Porter,,Goal Stable Door Polo,,,,,,,,,,,,,,,,,
