Name,Position,Duration,Game,Tournament,Stage,Search Event,Match Date,Umpire 2,Third Umpire,Umpire 1,Instant Replay Official,Club,Shot At Goal,Camera Angle,Chukka,Year,Location,General Field Area,Player,Team,Shot At Goal Outcome,Chukka Length,Set Play,Throw-in Outcome,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Highlight Reel
Shot At Goal,364533,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 1,2020,89;42,Attacking 60,Magoo Laprida,Equuleus,Wide,,,,,,,,,,,,,,,,
Game Length,366166,5774566,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,,2020,,,,Team,,Game Length,,,,,,,,,,,,,,,
Chukka Length,370633,631700,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,,Team,,Chukka Length,,,,,,,,,,,,,,,
Throw-in,370633,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Inaki Laprida,Equuleus,,,Throw-in,Equuleus win throw-in,,,,,,,,,,,,,
Assist,383833,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Mariano Gonzalez,Equuleus,,,,,Unsuccessful,Mariano Gonzalez,,,,,,,,,,,
Knock In,413133,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Facundo Obregon,Dutta Corp,,,Knock In,,,,,,,,,,,,,,
Foul,421033,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,41;174,Defending Half,Inaki Laprida,Equuleus,,,,,,,Foul,Right of Way,Penalty 60 yards,116;171,9;111,,,,,,
Foul Received,421033,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,114;117,Attacking Half,Facundo Obregon,Dutta Corp,,,,,,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,
Goal Dutta Corp,476233,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,73;6,Attacking 30,Mariano Obregon,Dutta Corp,,,,,,,,,,,,Goal Dutta Corp,,,,,
Penalty 60 yards,494383,15000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Shot At Goal (1),522133,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 1,2020,54;17,Attacking 30,Mariano Obregon,Dutta Corp,Miss Hit,,,,,,,,,,,,,,,,
Shot At Goal (2),525733,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 1,2020,73;13,Attacking 30,Lucas Diaz Alberdi,Dutta Corp,Goal,,,,,,,,,,,,,,,,
Throw-in (1),525800,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Lucas Diaz Alberdi,Dutta Corp,,,Throw-in,Dutta Corp win throw-in,,,,,,,,,,,,,
Goal Dutta Corp (1),527866,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,75;4,Attacking 30,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,,,,,Goal Dutta Corp,,,,,
Throw-in (2),587233,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Magoo Laprida,Equuleus,,,Throw-in,Equuleus win throw-in,,,,,,,,,,,,,
Non Call,596733,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,
Foul (1),673000,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,84;113,Attacking Half,Facundo Obregon,Dutta Corp,,,,,,,Foul,Dangerous Riding,Penalty 60 yards,9;103,111;145,,,,,,
Foul Received (1),673000,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,58;188,Defending Half,Magoo Laprida,Equuleus,,,,,,,Foul Received,Dangerous Riding,Penalty 60 yards,,,,,,,,
Yellow Card,790733,10000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Facundo Obregon,Dutta Corp,,,,,,,Yellow Card,Dangerous Riding,,,,,,,,,
Penalty 60 yards (1),859166,15000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,Penalty 60 yards,Wide,,,
Knock In (1),881633,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Facundo Obregon,Dutta Corp,,,Knock In,,,,,,,,,,,,Mariano Obregon,,
Foul (2),985633,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,68;177,Defending Half,Aiden Meeker,Equuleus,,,,,,,Foul,Dangerous Riding,Penalty 40 yards,19;131,121;162,,,,,,
Collision,994066,15000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Inaki Laprida,Equuleus,,,,,,,,,,,,,,,,Collision,
Injury Time,999266,134746,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,,Team,,Injury Time,,,,,,,,,,,,,,,
Yellow Card (1),1171866,10000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Aiden Meeker,Equuleus,,,,,,,Yellow Card,Dangerous Riding,,,,,,,,,
Goal Dutta Corp (2),1206400,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,77;7,Attacking 30,Facundo Obregon,Dutta Corp,,,,,,,,,,,,Goal Dutta Corp,,,,,
Penalty 40 yards,1224066,15000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,Penalty 40 yards,Goal,,,
Chukka Length (6),1224600,104066,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,,Team,,Chukka Length,,,,,,,,,,,,,,,
Throw-in (3),1256883,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Aiden Meeker,Equuleus,,,Throw-in,Equuleus win throw-in,,,,,,,,,,,,,
Shot At Goal (3),1262166,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 1,2020,100;63,Attacking 60,Lucas Diaz Alberdi,Dutta Corp,Blocked,,,,,,,,,,,,,,,,
Foul (3),1283433,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,55;274,Defending 30,Inaki Laprida,Equuleus,,,,,,,Foul,Right of Way,Penalty 1,128;202,6;222,,,,,,
Foul Received (2),1283433,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,78;25,Attacking 30,Lucas Diaz Alberdi,Dutta Corp,,,,,,,Foul Received,Right of Way,Penalty 1,,,,,,,,
Goal Dutta Corp (3),1288233,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,76;6,Attacking 30,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,,,,,Goal Dutta Corp,,,,,
Penalty 1,1313233,10000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 1,2020,,,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,,,,,,Penalty 1,Goal,,,
Chukka Length (1),1549233,827000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,,Team,,Chukka Length,,,,,,,,,,,,,,,
Penalty 5b,1549233,30000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Facundo Obregon,Dutta Corp,,,Penalty 5b,,,,,,,,,,,,,,
Foul (4),1562533,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,36;93,Attacking Half,Mariano Obregon,Dutta Corp,,,,,,,Foul,Crossing,Penalty 5B,8;104,128;125,,,,,,
Foul Received (3),1562533,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,116;216,Defending Half,Magoo Laprida,Equuleus,,,,,,,Foul Received,Crossing,Penalty 5B,,,,,,,,
Penalty 5b (1),1628300,30000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Mariano Gonzalez,Equuleus,,,Penalty 5b,,,,,,,,,,,,,,
Foul (5),1632100,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,123;122,Attacking Half,Mariano Obregon,Dutta Corp,,,,,,,Foul,Right of Way,Penalty 60 yards,53;45,85;129,,,,,,
Foul Received (4),1632100,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,22;177,Defending Half,Inaki Laprida,Equuleus,,,,,,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,
Goal Equuleus,1685333,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,76;4,Attacking 30,Mariano Gonzalez,Equuleus,,,,,,,,,,,,Goal Equuleus,,,,,
Penalty 60 yards (2),1702966,15000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Shot At Goal (4),1731766,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 2,2020,66;45,Attacking 60,Lucas Diaz Alberdi,Dutta Corp,Blocked,,,,,,,,,,,,,,,,
Throw-in (4),1736766,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Facundo Obregon,Dutta Corp,,,Throw-in,Dutta Corp win throw-in,,,,,,,,,,,,,
Non Call (1),1771033,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,
Shot At Goal (5),1835333,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 2,2020,70;21,Attacking 30,Facundo Obregon,Dutta Corp,Goal,,,,,,,,,,,,,,,,
Goal Dutta Corp (4),1836433,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,78;6,Attacking 30,Facundo Obregon,Dutta Corp,,,,,,,,,,,,Goal Dutta Corp,,,,,
Throw-in (5),2001866,20000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Lucas Diaz Alberdi,Dutta Corp,,,Throw-in,Dutta Corp win throw-in,,,,,,,,,,,,,
Foul (6),2009433,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,109;62,Attacking 60,Timmy Dutta,Dutta Corp,,,,,,,Foul,Right of Way,Penalty 5,35;108,128;109,,,,,,
Foul Received (5),2009433,25000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,36;236,Defending 60,Inaki Laprida,Equuleus,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
Penalty 5,2048066,30000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Mariano Gonzalez,Equuleus,,,Penalty 5,,,,,,,,,,,,,,
Shot At Goal (6),2048566,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 2,2020,51;48,Attacking 60,Aiden Meeker,Equuleus,Wide,,,,,,,,,,,,,,,,
Knock In (2),2098924,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Facundo Obregon,Dutta Corp,,,Knock In,,,,,,,,,,,,Mariano Obregon,,
Shot At Goal (7),2112700,35000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,Shot At Goal,Live,Chukka 2,2020,110;66,Attacking 60,Lucas Diaz Alberdi,Dutta Corp,Wide,,,,,,,,,,,,,,,,
Knock In (3),2157066,40000,Dutta Corp vs Equuleus,USPA Gold Cup,Group,Search Livestream,March 03. 2020,Jamie Mirikitani,Ka'aina DeCoite,Hector Galindo,Julian,International Polo Club,,Live,Chukka 2,2020,,,Mariano Gonzalez,Equuleus,,,Knock In,,,,,,,,,,,,Magoo Laprida,,
