Name,Position,Duration,Tournament,Game,Stage,Third Umpire,Search Event,Match Date,Instant Replay Official,Umpire 1,Umpire 2,Camera Angle,Year,Club,Chukka Length,Team,Set Play,Chukka,Throw-in Outcome,Player,Foul,Foul Type,Location,General Field Area,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Collision,Penalty Block,Fouler
Game Length,397833,6910066,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Game Length,Team,,,,,,,,,,,,,,,,,,,,,,,
Throw-in,397833,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Throw-in,Chukka 1,Dutta Corp win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,,
Chukka Length,399933,769333,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Chukka Length,Team,,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Non Call,423366,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Team,,Chukka 1,,,Non Call,Right of Way,,,,,,,,,,,,,,,,,
Foul,441133,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Jeff Hall,Foul,Riding Into Shot,28;208,Defending Half,Penalty 40 yards,10;189,77;226,,,,,,,,,,,,
Foul Received,441133,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,Foul Received,Riding Into Shot,132;86,Attacking Half,Penalty 40 yards,,,,,,,,,,,,,,
Goal Dutta Corp,546366,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,,,76;3,Attacking 30,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 40 yards,561926,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,,,,,,,,,Penalty 40 yards,Goal,,,,,,,,,
Throw-in (1),595366,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 1,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,,
Foul Received (1),602766,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Jeff Hall,Foul Received,Meeting the Ball,120;98,Attacking Half,Penalty 30 yards,,,,,,,,,,,,,,
