Name,Position,Duration,Game,Search Event,Umpire 2,Camera Angle,Club,Umpire 1,Instant Replay Official,Year,Stage,Match Date,Tournament,Third Umpire,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Foul,General Field Area,Location,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Goal,Collision,Knock-in Player 2,Highlight Reel,Assist Outcome,Assist,Penalty Block
Chukka Length,339633,224366,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Game Length,339633,6857533,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Game Length,,,,,,,,,,,,,,,,,,,,,,
Throw-in,339633,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Throw-in,Las Monjitas win throw-in,Francisco Elizalde,,,,,,,,,,,,,,,,,,
Foul,344933,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul,Defending Half,122;180,Crossing,Penalty 60 yards,116;171,35;131,,,,,,,,,,,
Foul Received,344933,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,Foul Received,Attacking Half,22;115,Crossing,Penalty 60 yards,,,,,,,,,,,,,
Penalty 60 yards,422966,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,,,,,,,,Penalty 60 yards,Wide,,,,,,,,,
Shot At Goal,442400,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,Attacking 30,75;26,,,,,,,Shot At Goal,Blocked,,,,,,,
Knock In,445711,40000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Knock In,,David Stirling,,,,,,,,,,,,,,,,,,
Goal Dutta Corp,455733,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,Attacking 30,76;6,,,,,,,,,Goal Dutta Corp,,,,,,
Foul (1),462166,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul,Defending 30,69;288,Right of Way,Penalty 1,76;58,29;244,,,,,,,,,,,
Foul Received (1),462166,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,Foul Received,Attacking 30,76;12,Right of Way,Penalty 1,,,,,,,,,,,,,
Penalty 1,480733,10000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,,,,,,,Penalty 1,Goal,,,,,,,,,
Penalty 5b,530100,30000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,Penalty 5b,,Facundo Obregon,,,,,,,,,,,,,,,,,,
Collision,555400,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,Francisco Elizalde,,,,,,,,,,,,,Collision,,,,,
Injury Time,564100,184466,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Injury Time,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Chukka Length (1),751000,609266,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Throw-in (1),751000,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Throw-in,Las Monjitas win throw-in,Francisco Elizalde,,,,,,,,,,,,,,,,,,
