Name,Position,Duration,Stage,Search Event,Camera Angle,Year,Chukka,Club,Game,Goal,Instant Replay Official,Match Date,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Player,Foul,Foul Outcome,General Field Area,Location,Foul Type,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Set Play,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Collision,Throw-in Outcome,Highlight Reel,Penalty Block,Chukka Length
Goal Dutta Corp,0,5000,Group,Search LiveStream,Live,2020,Chukka 1,International Polo Club,Dutta Corp vs Pilot,Goal Dutta Corp,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Unknown,,,,,,,,,,,,,,,,,,,,
Foul,189600,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,Foul,Penalty 1,Defending 30,70;289,Right of Way,94;44,60;244,,,,,,,,,,,,,
Foul Received,189600,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,Foul Received,Penalty 1,Attacking 30,78;8,Right of Way,,,,,,,,,,,,,,,
Penalty 1,200800,10000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,,,,,,,,Penalty 1,Goal,,,,,,,,,,,
Goal Dutta Corp (1),175800,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,Goal Dutta Corp,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,,,,,,,,,,,,,,,,,,,,
Penalty 5b,270366,30000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,Penalty 5b,,,,,,,,,,
Foul (1),276000,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucaz Diaz Alberdi,Foul,Penalty 5B,Defending Half,146;220,Crossing,112;190,142;163,,,,,,,,,,,,,
Foul Received (1),276000,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Gonzalito Pieres,Foul Received,Penalty 5B,Attacking 60,7;75,Crossing,,,,,,,,,,,,,,,
Penalty 5b (1),328933,30000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Penalty 5b,,,,,,,,,,
Shot At Goal,375966,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Timmy Dutta,,,Attacking 60,72;44,,,,,,,Shot At Goal,Wide,,,,,,,,
Assist,388333,25000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Obregon,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,,,,,,
Knock In,425466,40000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Facundo Pieres,,,,,,,,,,Knock In,,,,,Gonzalito Pieres,,,,,
Collision,442033,15000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Pilot,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Lucas Escobar,,,,,,,,,,,,,,,,Collision,,,,
Throw-in (1),605400,20000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,,,,,,,,Throw-in,,,,,,,Dutta Corp win throw-in,,,
Shot At Goal (1),595066,35000,Group,Search Livestream,Live,2020,Chukka 2,International Polo Club,Dutta Corp vs Pilot,,Kevin Fawcett,February 10. 2020,Dutta Corp,Julian Appleby,C.V. Whitney Cup,Ka'aina DeCoite,Hector Galindo,Mariano Obregon,,,Attacking 30,74;11,,,,,,,Shot At Goal,Goal,,,,,,,,
