Name,Position,Duration,Tournament,Match Date,Umpire 1,Game,Third Umpire,Camera Angle,Umpire 2,Club,Stage,Search Event,Instant Replay Official,Year,Chukka,Set Play,Throw-in Outcome,Player,Team,Foul,Foul Type,Chukka Length,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Highlight Reel,Foul Outcome,Umpire Focal,Umpire Trailing,Penalty Block,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2
Throw-in,695733,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Throw-in,Dutta Corp win throw-in,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,,,,,,,,,,,
Non Call,697066,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,,Team,Non Call,Right of Way,,,,,,,,,,,,,,,,
Game Length,699815,6708385,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,,,,,Team,,,Game Length,,,,,,,,,,,,,,,
Chukka Length,700483,540673,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Shot At Goal,710700,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Timmy Dutta,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,78;22,,,,,,,,,,,
Goal Dutta Corp,713166,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Timmy Dutta,Dutta Corp,,,,,,,,Goal Dutta Corp,Goals,,,,,,,,,
Shot At Goal (1),762533,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Timmy Dutta,Dutta Corp,,,,Shot At Goal,Blocked,Attacking 30,82;27,,,,,,,,,,,
Throw-in (1),773400,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Foul,781033,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Henry Porter,Santa Clara,Foul,Crossing,,,,Defending 30,66;280,,,Penalty 1,15;218,88;176,,,,,,
Foul Received,781033,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Mariano Obregon,Dutta Corp,Foul Received,Crossing,,,,Attacking 30,92;18,,,Penalty 1,,,,,,,,
Goal Dutta Corp (1),788166,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Mariano Obregon,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Shot Block,788933,10000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,Shot Block,,,,,
Penalty 1,810833,10000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,Penalty 1,Goal,,,
Penalty 5b,851996,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Penalty 5b,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Shot At Goal (2),898433,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,66;26,,,,,,,,,,,
Goal Santa Clara,900333,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Luis Escobar,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Assist,915333,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,Successful,Nachi Du Plessis,
Shot At Goal (3),958566,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,,,Matias Magrini,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,73;26,,,,,,,,,,,
Throw-in (2),959733,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 1,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
