Name,Position,Duration,Chukka,Player,Team,General Field Area,Camera Angle,Club,Game,Instant Replay Official,Location,Match Date,Search Event,Shot At Goal,Shot At Goal Outcome,Tournament,Umpire 1,Umpire 2,Year,Stage,Third Umpire,Set Play,Foul,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Goal,Assist,Assist Outcome,Throw-in Outcome,Penalties,Penalty Outcome,Chukka Length,Knock-in Player 2,Penalty Block,Highlight Reel,Collision
Shot At Goal,30800,35000,Chukka 1,Francisco Elizalde,Las Monjitas,Attacking 60,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,134;40,February 09. 2020,Search Livestream,Shot At Goal,Wide,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,,,
Free Hit,56033,20000,Chukka 1,Francisco Elizalde,Las Monjitas,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Free Hit,,,,,,,,,,,,,,,,
Foul,77233,25000,Chukka 1,Mackenzie Weisz,Las Monjitas,Attacking 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,53;21,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul,Penalty 5B,Improper Procedure,34;24,96;8,,,,,,,,,,,
Foul Received,77233,25000,Chukka 1,Mariano Gonzalez,Equuleus,Defending 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,96;277,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul Received,Penalty 5B,Improper Procedure,,,,,,,,,,,,,
Knock In,79866,40000,Chukka 1,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Knock In,,,,,,,,,,,,,,,,
Shot At Goal (1),124900,35000,Chukka 1,Ignacio Laprida,Equuleus,Attacking 60,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,107;62,February 09. 2020,Search Livestream,Shot At Goal,Goal,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,,,,,,,,,,
Goal Equuleus,130266,35000,Chukka 1,Ignacio Laprida,Equuleus,Attacking 30,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,71;6,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,Goal Equuleus,,,,,,,,,,
Penalty 5b,139066,30000,Chukka 1,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Penalty 5b,,,,,,,,,,,,,,,,
Assist,144633,25000,Chukka 1,Mariano Gonzalez,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,,,,,,,Mariano Gonzalez,Successful,,,,,,,,
Throw-in,181400,20000,Chukka 1,Christian Laprida,Equuleus,,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,Throw-in,,,,,,,,,Equuleus win throw-in,,,,,,,
Foul (1),183700,25000,Chukka 1,Francisco Elizalde,Las Monjitas,Defending 60,Live,International Polo Club,Equuleus vs Las Monjitas,Unknown,34;247,February 09. 2020,Search Livestream,,,C.V. Whitney Cup,Unknown,Unknown,2020,Group,Unknown,,Foul,Penalty 40 yards,Reaching,23;185,126;179,,,,,,,,,,,
