Name,Position,Duration,Umpire 1,Instant Replay Official,Tournament,Third Umpire,Club,Search Event,Stage,Umpire 2,Camera Angle,Match Date,Game,Year,Team,Chukka,Chukka Length,Set Play,Throw-in Outcome,Player,Foul,General Field Area,Location,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalties,Penalty Outcome,Penalty Block,Collision
Chukka Length,616900,669600,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Team,Chukka 1,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in,617133,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Throw-in,La Indiana win throw-in,Michael Bickford,,,,,,,,,,,,,,,,,,
Foul,629233,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,Foul,Defending Half,11;171,Right of Way,Penalty 5,88;172,11;201,,,,,,,,,,,
Foul Received,629233,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Michael Bickford,Foul Received,Attacking Half,135;129,Right of Way,Penalty 5,,,,,,,,,,,,,
Penalty 5,683266,30000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Penalty 5,,Santiago Romero,,,,,,,,,,,,,,,,,,
Shot At Goal,671766,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,,,Jeff Hall,,Attacking 30,91;22,,,,,Shot At Goal,Deflected,,,,,,,,,
Shot At Goal (1),700200,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Joaquin Avendano,,Attacking 30,80;17,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Patagones,701600,35000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Joaquin Avendano,,Attacking 30,78;6,,,,,,,Goal Patagones,Goals,,,,,,,
Assist,717100,25000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,Patagones,Chukka 1,,,,Santi Toccalino,,,,,,,,,,,,Successful,Santi Toccalino,,,,,
Throw-in (1),765700,20000,Unknown,Unknown,Ylvisaker Cup,Unknown,International Polo Club,Search Livestream,Final,Unknown,Live,February 02. 2020,La Indiana vs Patagones,2020,La Indiana,Chukka 1,,Throw-in,La Indiana win throw-in,Santiago Romero,,,,,,,,,,,,,,,,,,
