Name,Position,Duration,Tournament,Umpire 1,Umpire 2,Third Umpire,Camera Angle,Club,Instant Replay Official,Search Event,Year,Chukka,Game,Match Date,Stage,Team,Chukka Length,Set Play,Throw-in Outcome,Player,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Penalty Block,Knock-in Player 2,Goal,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Highlight Reel,Assist Outcome,Assist,Collision
Chukka Length,0,814108,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Team,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Throw-in,0,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,Throw-in,La Indiana win throw-in,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Shot At Goal,12900,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,Shot At Goal,87;48,Attacking 60,Blocked,,,,,,,,,,,,,,
Shot At Goal (1),15766,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,Shot At Goal,84;18,Attacking 30,Wide,,,,,,,,,,,,,,
Shot Block,39066,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,Shot Block,,,,,,,,,,,,,
Knock In,61766,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,Knock In,,Santiago Romero,,,,,,Pablo Polito Pieres,,,,,,,,,,,,
Shot At Goal (2),86700,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,Shot At Goal,78;39,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Park Place,88300,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,,70;7,Attacking 30,,,,Goal Park Place,,,,,,,,,,,
Throw-in (2),148100,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,Throw-in,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,
Foul,194633,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,,10;79,Attacking Half,,,,,Foul,Right of Way,Penalty 5B,143;206,62;233,,,,,,
Foul Received,194633,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,135;218,Defending Half,,,,,Foul Received,Right of Way,Penalty 5B,,,,,,,,
Penalty 5b,295033,30000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,Penalty 5b,,Santiago Romero,,,,,,,,,,,,,,,,,,
Shot At Goal (3),312466,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Felipe Viana,Shot At Goal,16;56,Attacking 60,Wide,,,,,,,,,,,,,,
Knock In (2),355466,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,Knock In,,Pablo Polito Pieres,,,,,,,,,,,,,,,,,,
Foul (2),380700,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Felipe Viana,,97;289,Defending 30,,,,,Foul,Dangerous Riding,Penalty 30 yards,15;238,130;285,,,,,,
Foul Received (2),380700,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Jeff Hall,,51;6,Attacking 30,,,,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,,,,
Goal La Indiana,539533,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,,,Goal La Indiana,,,,,,,,,,,
Penalty 30 yards,557833,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Shot At Goal (4),581500,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,Shot At Goal,89;53,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Park Place (1),584900,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Alfredo Bigatti,,82;6,Attacking 30,,,,Goal Park Place,,,,,,,,Goals,,,
Throw-in (4),591966,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,,
Assist,600733,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Juan Britos,,,,,,,,,,,,,,,,Successful,Juan Britos,
Foul (4),642266,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Felipe Viana,,91;134,Attacking Half,,,,,Foul,Turning,Penalty 60 yards,21;135,129;131,,,,,,
Foul Received (4),642266,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Jeff Hall,,34;158,Defending Half,,,,,Foul Received,Turning,Penalty 60 yards,,,,,,,,
Throw-in (6),645400,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,Throw-in,Park Place win throw-in,Felipe Viana,,,,,,,,,,,,,,,,,,
Penalty 60 yards,715266,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Knock In (4),738433,40000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,Knock In,,Felipe Viana,,,,,,Juan Britos,,,,,,,,,,,,
Non Call,750700,20000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Team,,,,,,,,,,,,Non Call,Crossing,,,,,,,,,
Foul (6),768166,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Jeff Hall,,76;171,Defending Half,,,,,Foul,Dangerous Riding,Penalty 60 yards,21;185,104;189,,,,,,
Foul Received (6),768166,25000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 1,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Felipe Viana,,64;125,Attacking Half,,,,,Foul Received,Dangerous Riding,Penalty 60 yards,,,,,,,,
Chukka Length (2),801000,50433,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Team,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards (2),831000,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Juan Britos,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,,
Shot Block (1),839766,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,La Indiana,,,,Pablo Polito Pieres,,,,,Shot Block,,,,,,,,,,,,,
Shot At Goal (8),843500,35000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Felipe Viana,Shot At Goal,58;42,Attacking 60,Wide,,,,,,,,,,,,,,
Collision,876433,15000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Juan Britos,,,,,,,,,,,,,,,,,,Collision
Injury Time,877000,301433,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Team,Injury Time,,,,,,,,,,,,,,,,,,,,,
Chukka Length (4),882000,133533,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Team,Chukka Length,,,,,,,,,,,,,,,,,,,,,
Yellow Card,891000,10000,C.V. Whitney Cup,Unknown,Unknown,Unknown,Live,International Polo Club,Unknown,Search Livestream,2020,Chukka 2,La Indiana vs Park Place,February 05. 2020,Group,Park Place,,,,Juan Britos,,,,,,,,Yellow Card,Technical,Penalty 5B,,,,,,,,
