Name,Position,Duration,Chukka,Team,Player,Foul,Foul Type,Foul Outcome,Goal,Set Play,General Field Area,Location,Assist,Assist Outcome,Camera Angle,Chukka Length,Club,Game,Highlight Reel,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Umpire Focal,Umpire Trailing,Year,Penalty Block
Shot At Goal,265633,35000,Chukka 1,Pilot,Facundo Pieres,,,,,,Attacking 30,63;21,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot,266400,35000,Chukka 1,Pilot,Facundo Pieres,,,,Goal Pilot,,Attacking 30,71;3,,,Live,,International Polo Club,La Indiana vs Pilot,Goals,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in,276833,20000,Chukka 1,Pilot,Facundo Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,Pilot win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Game Length,276833,6727530,,Team,,,,,,,,,,,Live,Game Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Chukka Length,280966,631700,Chukka 1,Team,,,,,,,,,,,Live,Chukka Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (1),324691,20000,Chukka 1,La Indiana,Santiago Gomez Romero,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul,392433,25000,Chukka 1,Pilot,Lucas Escobar,Foul,Right of Way,Penalty 30 yards,,,Defending 60,85;267,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,34;247,75;236,2020,
Foul Received,392433,25000,Chukka 1,La Indiana,Santiago Gomez Romero,Foul Received,Right of Way,Penalty 30 yards,,,Attacking 30,71;31,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal La Indiana,433533,35000,Chukka 1,La Indiana,Jeff Hall,,,,Goal La Indiana,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 30 yards,449100,15000,Chukka 1,La Indiana,Jeff Hall,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 30 yards,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
