Name,Position,Duration,Umpire 2,Match Date,Umpire 1,Stage,Tournament,Game,Third Umpire,Instant Replay Official,Search Event,Camera Angle,Chukka,Year,Club,Location,General Field Area,Team,Player,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Chukka Length,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalty Block,Penalties,Penalty Outcome,Collision,Knock-in Player 2
Foul Received,463066,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,36;163,Defending Half,La Indiana,Jeff Hall,Foul Received,Right of Way,Penalty 5,,,,,,,,,,,,,,,,
Foul,463066,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,27;122,Attacking Half,Postage Stamp Farm,Annabelle Gundlach,Foul,Right of Way,Penalty 5,16;133,116;131,,,,,,,,,,,,,,
Chukka Length,464263,473406,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,Team,,,,,,,Chukka Length,,,,,,,,,,,,,
Game Length,464263,6515182,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,,2020,International Polo Club,,,Team,,,,,,,Game Length,,,,,,,,,,,,,
Throw-in,464266,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Shot At Goal,496400,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,44;30,Attacking 30,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Penalty 5,497533,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,Penalty 5,,,,,,,,,,,,
Goal Postage Stamp Farm,498733,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,76;8,Attacking 30,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Goal Postage Stamp Farm,Goals,,,,,,,
Assist,514100,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,,,,,Successful,Lerin Zubiaurre,,,,,
Throw-in (1),555933,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,
Shot At Goal (1),602133,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,76;15,Attacking 30,Postage Stamp Farm,Annabelle Gundlach,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Postage Stamp Farm (1),602933,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,74;6,Attacking 30,Postage Stamp Farm,Annabelle Gundlach,,,,,,,,,,,Goal Postage Stamp Farm,Goals,,,,,,,
Assist (1),618200,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,,,,,Successful,Lerin Zubiaurre,,,,,
Throw-in (2),662200,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,Postage Stamp Farm,Mariano Aguerre,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Shot At Goal (2),706366,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,101;38,Attacking 30,Postage Stamp Farm,Mariano Aguerre,,,,,,,,,Shot At Goal,Blocked,,,,,,,,,
Shot Block,732500,10000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,,,,,,,,,Shot Block,,,,
Foul Received (1),744233,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,8;215,Defending Half,La Indiana,Jeff Hall,Foul Received,Right of Way,Penalty 5B,,,,,,,,,,,,,,,,
Foul (1),744233,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 1,2020,International Polo Club,142;79,Attacking Half,Postage Stamp Farm,Mariano Aguerre,Foul,Right of Way,Penalty 5B,15;93,144;93,,,,,,,,,,,,,,
