Name,Position,Duration,Search Event,Camera Angle,Year,Chukka,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Player,Team,Game,Club,Instant Replay Official,Match Date,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Goal,Highlight Reel,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Collision
Shot At Goal,566,35000,Search Livestream,Live`,2020,Chukka 1,Shot At Goal,Goal,79;13,Attacking 30,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Goal La Indiana,1800,35000,Search Livestream,Live`,2020,Chukka 1,,,,,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,Goal La Indiana,Goals,,,,,,,,,,,,,,,
Throw-in,6600,20000,Search Livestream,Live`,2020,Chukka 1,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,
Chukka Length,9600,505861,Search Livestream,Live`,2020,Chukka 1,,,,,,Team,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,Chukka Length,,,,,,,,,,,,
Game Length,9600,5994021,Search Livestream,Live`,2020,,,,,,,Team,Lockton vs Archangel/Granite Bay,Empire Polo Club,Unknown,January 26  2020,Group,Unknown,Sportsmanship Cup,Unknown,Unknown,,,,,Game Length,,,,,,,,,,,,
Assist,16800,25000,Search Livestream,Live`,2020,Chukka 1,,,,,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,Successful,Facundo Obregon,,,,,,,,,,
Foul,54033,25000,Search Livestream,Live`,2020,Chukka 1,,,78;138,Attacking Half,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Right of Way,Penalty 5,78;149,139;151,,,,,
Foul Received,54033,25000,Search Livestream,Live`,2020,Chukka 1,,,45;165,Defending Half,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Throw-in (1),60400,20000,Search Livestream,Live`,2020,Chukka 1,,,,,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,La Indiana win throw-in,,,,,,,,,,,,,
Shot At Goal (1),79766,35000,Search Livestream,Live`,2020,Chukka 1,Shot At Goal,Goal,78;21,Attacking 30,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
