Name,Position,Duration,Camera Angle,Chukka,Club,Game,Goal,Instant Replay Official,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Penalties,Penalty Outcome,Foul,Foul Outcome,Foul Type,General Field Area,Location,Chukka Length,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Assist,Assist Outcome,Knock-in Player 2,Umpire Focal,Umpire Trailing,Penalty Block,Highlight Reel,Collision
Goal Las Monjitas (3),109633,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,Goal Las Monjitas,Unknown,February 23. 2020,Mackenzie Weisz,Search Livestream,Final,Las Monjitas,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,,
Penalty 40 yards (1),129633,15000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Livestream,Final,Las Monjitas,Unknown,USPA Gold Cup,Unknown,Unknown,2020,Penalty 40 yards,Goal,,,,,,,,,,,,,,,,,,
Foul (19),139633,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Unknown,Search Livestream,Final,La Indiana,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,Foul,Penalty 40 yards,Unknown,Attacking 60,37;63,,,,,,,,,,,,,
Foul Received (19),139633,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Unknown,Search Livestream,Final,Las Monjitas,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 40 yards,Unknown,Defending 60,119;238,,,,,,,,,,,,,
Chukka Length (3),146233,481675,Live,Chukka 1,International Polo Club,,,,,,Search Livestream,,Team,,USPA Gold Cup,,,2020,,,,,,,,Chukka Length,,,,,,,,,,,,
Throw-in (9),148700,20000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Unknown,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,,,,,,,,
Game Length (1),148700,6860783,Live,,International Polo Club,,,,,,Search Livestream,,Team,,USPA Gold Cup,,,2020,,,,,,,,Game Length,,,,,,,,,,,,
Throw-in,191000,20000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Shot At Goal,202866,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,120;12,,,,Shot At Goal,Wide,,,,,,,,
Assist,221200,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Francisco Elizalde,Unsuccessful,,,,,,
Knock In,250600,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Jeff Hall,,,,,
Non Call,266933,20000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,,Search Live stream,Final,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Non Call,,Dangerous Riding,,,,,,,,,,,,,,,
Knock In (1),353966,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,,,,,,
Foul,372266,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul,Penalty 5B,Right of Way,Attacking 30,117;21,,,,,,,,,100;33,123;59,,,
Foul Received,372266,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 5B,Right of Way,Defending 30,29;279,,,,,,,,,,,,,
Shot At Goal (1),428866,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,46;25,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5b,434564,30000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5b,,,,,,,,,,,
Shot At Goal (2),471166,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Santiago Gomez Romero,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,98;31,,,,Shot At Goal,Wide,,,,,,,,
Knock In (2),476469,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Jeff Hall,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Polito Pieres,,,,,
