Name,Position,Duration,Chukka,Set Play,Match Date,Umpire 2,Third Umpire,Camera Angle,Search Event,Club,Tournament,Game,Stage,Umpire 1,Instant Replay Official,Year,Throw-in Outcome,Team,Player,Foul,Foul Type,General Field Area,Location,Foul Outcome,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Knock-in Player 2,Chukka Length
Throw-in,291500,20000,Chukka 1,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Mackenzie Weisz,,,,,,,,,,,,,,,,,
Non Call,302000,20000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,Non Call,Right of Way,,,,,,,,,,,,,,,
Foul,315833,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,Foul,Right of Way,Attacking Half,144;98,Penalty 5B,143;80,57;92,,,,,,,,,,
Foul Received,315833,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,Foul Received,Right of Way,Defending Half,7;201,Penalty 5B,,,,,,,,,,,,
Penalty 5b,376600,30000,Chukka 1,Penalty 5b,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,,
Shot At Goal,362800,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,Attacking 30,74;13,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones,362800,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,Goal Patagones,Goals,,,,,,
Assist,379500,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,Successful,Tomas Garcia del Rio,,,,
Throw-in (1),420233,20000,Chukka 1,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Camilo Bautista,,,,,,,,,,,,,,,,,
Foul (1),428200,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,Foul,Riding Into Shot,Defending Half,96;233,Penalty 30 yards,77;208,145;230,,,,,,,,,,
