Name,Position,Duration,Tournament,Game,Search Event,Year,Stage,Match Date,Umpire 2,Umpire 1,Camera Angle,Club,Instant Replay Official,Chukka,Third Umpire,Shot At Goal,Location,General Field Area,Player,Team,Shot At Goal Outcome,Chukka Length,Set Play,Throw-in Outcome,Assist Outcome,Assist,Goal,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block
Shot At Goal,18733,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,Shot At Goal,71;22,Attacking 30,Geronimo Obregon,Patagones,Wide,,,,,,,,,,,,,,,,
Chukka Length,26800,736533,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,,,,,Team,,Chukka Length,,,,,,,,,,,,,,,
Game Length,26800,5695457,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,,Unknown,,,,,Team,,Game Length,,,,,,,,,,,,,,,
Throw-in,26800,20000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,,,,Tomas Garcia del Rio,Patagones,,,Throw-in,Patagones win throw-in,,,,,,,,,,,,,
Assist,36433,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,,,,Santiago Toccalino,Patagones,,,,,Unsuccessful,Santiago Toccalino,,,,,,,,,,,
Knock In,60433,40000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,,,,David Stirling,Las Monjitas,,,Knock In,,,,,,,,,,,,,,
Shot At Goal (1),70200,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,Shot At Goal,73;42,Attacking 60,David Stirling,Las Monjitas,Post,,,,,,,,,,,,,,,,
Shot At Goal (2),72533,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,Shot At Goal,83;15,Attacking 30,Bautista Panelo,Las Monjitas,Goal,,,,,,,,,,,,,,,,
Goal Las Monjitas,73200,35000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,,81;4,Attacking 30,Bautista Panelo,Las Monjitas,,,,,,,Goal Las Monjitas,,,,,,,,,,
Foul,127600,25000,USPA Gold Cup,Las Monjitas vs Patagones,Search Livestream,2020,Quarter Final,March 15. 2020,Unknown,Unknown,Live,International Polo Club,Unknown,Chukka 1,Unknown,,64;171,Defending Half,Francisco Elizalde,Las Monjitas,,,,,,,,Foul,Right of Way,Penalty 40 yards,120;163,75;172,,,,,
