Name,Position,Duration,Tournament,Game,Umpire 2,Third Umpire,Stage,Umpire 1,Match Date,Instant Replay Official,Year,Team,Chukka,Chukka Length,Search Event,Camera Angle,Club,Set Play,Throw-in Outcome,Player,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2
Chukka Length (2),80914,232932,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 1,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Injury Time (1),313846,62796,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 1,Injury Time,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Chukka Length (3),376809,282482,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,USA,Team,Chukka 1,Chukka Length,Search Livestream,Live,International Polo Club,,,,,,,,,,,,,,,,,,,,
Throw-in,817366,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Old Hickory Bourbon win throw-in,Miguel Novillo Astrada,,,,,,,,,,,,,,,,,
Shot At Goal,835466,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,Shot At Goal,Attacking 30,85;35,Goal,,,,,,,,,,,,,
Goal Park Place,838633,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,,Attacking 30,73;7,,Goal Park Place,,,,,,,,,,,,
Throw-in (1),891800,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (1),940266,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,Shot At Goal,Attacking 60,15;62,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon,945566,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Miguel Novillo Astrada,,Attacking 30,69;4,,Goal Old Hickory Bourbon,Goals,,,,,,,,,,,
Shot At Goal (2),995500,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,Shot At Goal,Attacking 30,66;27,Goal,,,,,,,,,,,,,
Goal Old Hickory Bourbon (1),997533,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,,,Toro Ruiz,,Attacking 30,70;6,,Goal Old Hickory Bourbon,Goals,,,,,,,,,,,
Throw-in (2),1009166,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Old Hickory Bourbon,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Old Hickory Bourbon win throw-in,Toro Ruiz,,,,,,,,,,,,,,,,,
Throw-in (3),1113166,20000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (3),1116633,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Alfredo Bigatti,Shot At Goal,Attacking 30,80;38,Blocked,,,,,,,,,,,,,
Shot At Goal (4),1118966,35000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Andrey Borodin,Shot At Goal,Attacking 30,62;34,Wide,,,,,,,,,,,,,
Assist,1131500,25000,USPA Gold Cup,Old Hickory Bourbon vs Park Place,Kevin Fawcett,Julian Appleby,Group,Ka'aina DeCoite,March 05. 2020,Jamie Mirikitani,2020,Park Place,Chukka 1,,Search Livestream,Live,International Polo Club,,,Joaouin Panelo,,,,,,,Unsuccessful,Joaouin Panelo,,,,,,,,,
