Name,Position,Duration,Game,Stage,Third Umpire,Instant Replay Official,Umpire 2,Match Date,Umpire 1,Search Event,Camera Angle,Club,Year,Tournament,Set Play,Chukka,Throw-in Outcome,Player,Team,Chukka Length,Foul,Location,General Field Area,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Penalty Block,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome
Throw-in,296000,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 1,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Game Length,296000,5392381,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,,,,Team,Game Length,,,,,,,,,,,,,,,,,
Chukka Length,296000,528757,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Foul,346200,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Stephen Orthwein,Old Hickory Bourbon,,Foul,146;84,Attacking Half,Penalty 5B,Right of Way,124;115,36;138,,,,,,,,,,
Foul Received,346200,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Santiago Toccalino,Patagones,,Foul Received,3;184,Defending Half,Penalty 5B,Right of Way,,,,,,,,,,,,
Penalty 5b,408333,30000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Penalty 5b,Chukka 1,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,
Knock In,446500,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 1,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,Miguel N. Astrada,,,,,,,,,
Shot At Goal,447200,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Miguel N. Astrada,Old Hickory Bourbon,,,53;26,Attacking 30,,,,,,Shot At Goal,Blocked,,,,,,,
Shot Block,475733,10000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Santiago Toccalino,Patagones,,,,,,,,,,,,Shot Block,,,,,,
Shot At Goal (1),488133,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 1,,Will Johnston,Old Hickory Bourbon,,,64;42,Attacking 60,,,,,,Shot At Goal,Goal,,,,,,,
