Name,Position,Duration,Game,Camera Angle,Search Event,Club,Instant Replay Official,Chukka,Tournament,Umpire 1,Third Umpire,Umpire 2,Year,Stage,Match Date,Shot At Goal,Location,General Field Area,Team,Player,Shot At Goal Outcome,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Knock-in Player 2,Goal,Highlight Reel,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome
Shot At Goal,136766,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,62;45,Attacking 60,Old Hickory Bourbon,Stephen Orthwein,Wide,,,,,,,,,,,,,,,,
Throw-in,147700,20000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Old Hickory Bourbon,Toro Ruiz,,Throw-in,Old Hickory Bourbon win throw-in,,,,,,,,,,,,,,
Game Length,150933,4272200,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Team,,,,,Game Length,,,,,,,,,,,,,
Chukka Length,151433,445823,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Team,,,,,Chukka Length,,,,,,,,,,,,,
Assist,154400,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Old Hickory Bourbon,Toro Ruiz,,,,,Unsuccessful,Toro Ruiz,,,,,,,,,,,
Shot At Goal (1),169633,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,10;79,Attacking Half,Pilot,Gonzalito Pieres,Wide,,,,,,,,,,,,,,,,
Knock In,180333,40000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Facundo Pieres,,Knock In,,,,,Gonzalito Pieres,,,,,,,,,,
Assist (1),185200,25000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,,,Pilot,Facundo Pieres,,,,,Unsuccessful,Facundo Pieres,,,,,,,,,,,
Shot At Goal (2),205566,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,Shot At Goal,79;27,Attacking 30,Pilot,Facundo Pieres,Goal,,,,,,,,,,,,,,,,
Goal Pilot,206700,35000,Old Hickory Bourbon vs Pilot,Live,Search Livestream,International Polo Club,Martin,Chukka 1,USPA Gold Cup,George Olivas,Ronnie Hayes,Horton Schwartz,2020,Group,March 10. 2020,,75;3,Attacking 30,Pilot,Facundo Pieres,,,,,,,,Goal Pilot,Goals,,,,,,,,
