Name,Position,Duration,Chukka,Assist Outcome,Assist,Player,Team,Camera Angle,Year,Umpire 2,Instant Replay Official,Club,Third Umpire,Search Event,Tournament,Game,Stage,Match Date,Umpire 1,Chukka Length,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Set Play,Goal,Highlight Reel,Knock-in Player 2,Penalties,Penalty Outcome,Penalty Block,Shot At Goal,Shot At Goal Outcome,Throw-in Outcome
Assist,91600,25000,Chukka 1,Successful,Valerio Zubiaurre,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (1),154900,25000,Chukka 1,Unsuccessful,Stephen Orthwein,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (2),257966,25000,Chukka 1,Unsuccessful,Stephen Orthwein,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (3),376366,25000,Chukka 1,Unsuccessful,Valerio Zubiaurre,Valerio Zubiaurre,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (4),1154037,25000,Chukka 2,Successful,Mariano Gonzalez,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (5),1834913,25000,Chukka 3,Unsuccessful,Stephen Orthwein,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (6),2141400,25000,Chukka 3,Unsuccessful,Stephen Orthwein,Stephen Orthwein,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (7),2951766,25000,Chukka 4,Successful,Mariano Gonzalez,Mariano Gonzalez,Postage Stamp Farm,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (8),3007766,25000,Chukka 4,Successful,Miguel Novillo Astrada,Miguel Novillo Astrada,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
Assist (9),3205400,25000,Chukka 4,Unsuccessful,Victorino Ruiz Jobra,Victorino Ruiz Jobra,Old Hickory Bourbon,Live,2020,George Olivas,Ronnie Hayes,International Polo Club,Horton Schwartz,Search Livestream,C.V. Whitney Cup,Old Hickory Bourbon vs Postage Stamp Farm,Group,February 14. 2020,Kimo Huddleston,,,,,,,,,,,,,,,,,,
