Name,Position,Duration,Tournament,Third Umpire,Umpire 2,Instant Replay Official,Match Date,Stage,Search Event,Game,Club,Chukka,Camera Angle,Set Play,Year,Throw-in Outcome,Team,Player,Umpire 1,Foul,Location,General Field Area,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Goal,Collision,Assist Outcome,Assist,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Penalty Block,Highlight Reel
Throw-in,224045,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,,,
Foul,230276,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul,135;184,Defending Half,Penalty 30 yards,Crossing,,,,,,,,,,,
Foul Received,230276,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul Received,16;106,Attacking Half,Penalty 30 yards,Crossing,,,,,,,,,,,
Penalty 30 yards,312554,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,73;34,Attacking 30,,,Penalty 30 yards,Goal,,,,,,,,,
Goal Old Hickory Bourbon,294173,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Victorino Ruiz Jorba,Unknown,,72;6,Attacking 30,,,,,Goal Old Hickory Bourbon,,,,,,,,
Throw-in (1),348969,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Foul (1),349362,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul,77;77,Attacking Half,Penalty 5B,Dangerous Use of Mallet,,,,,,,,,,,
Foul Received (1),349362,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,73;215,Defending Half,Penalty 5B,Dangerous Use of Mallet,,,,,,,,,,,
Collision,365736,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,14;190,Defending Half,,,,,,Collision,,,,,,,
Penalty 5b,444831,30000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Penalty 5b,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Assist,478542,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,Unsuccessful,Ignacio Toccalino,,,,,
Shot At Goal,485263,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,64;34,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
Goal Tonkawa,487499,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,74;4,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (2),543380,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Old Hickory Bourbon win throw-in,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,,
Knock In,606341,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Knock In,2020,,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,Sapo Caset,,
Shot At Goal (1),615510,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,133;45,Attacking 60,,,,,,,,,Shot At Goal,Wide,,,
Knock In (1),664332,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Knock In,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,,,,,,,,,,,,,Miguel Novillo Astrada,,
Foul (2),698093,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,Foul,110;89,Attacking Half,Penalty 60 yards,Cross/High Hook,,,,,,,,,,,
Foul Received (2),698093,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Foul Received,27;213,Defending Half,Penalty 60 yards,Cross/High Hook,,,,,,,,,,,
Penalty 60 yards,773581,15000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,73;74,Attacking 60,,,Penalty 60 yards,Goal,,,,,,,,,
Goal Tonkawa (1),756367,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Sapo Caset,Unknown,,76;7,Attacking 30,,,,,Goal Tonkawa,,,,,,,,
Throw-in (3),808928,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Ignacio Toccalino,Unknown,,,,,,,,,,,,,,,,
Foul (3),801746,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 1,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,Foul,72;154,Defending Half,Penalty 5,Turning,,,,,,,,,,,
