Name,Position,Duration,Camera Angle,Chukka,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Set Play,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Year,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Goal,Assist,Assist Outcome,Penalty Block,Highlight Reel
Throw-in,0,17168,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Throw-in,Group,Patagones,Ronnie Hayes,Patagones win throw-in,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Shot At Goal,0,9838,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,117;38,Attacking 30,Wide,,,,,,,,,,,
Knock In,24495,40000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Knock In,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,Gonzalo Ferrari,,,,,,,,,,
Foul,40921,25000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,89;170,Defending Half,,,Foul,Right of Way,Penalty 60 yards,,,,,,,
Foul Received,40921,25000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Lucas Diaz Alberdi,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,62;131,Attacking Half,,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,
Penalty 60 yards,120797,15000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,Penalty 60 yards,Goal,,,,,
Goal Palm Beach Equine,104400,35000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,Goal Palm Beach Equine,,,,
Throw-in (1),154459,20000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Mateo Vallejos,Search Livestream,Throw-in,Group,Patagones,Ronnie Hayes,Patagones win throw-in,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Shot At Goal (1),174871,35000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,57;8,Attacking 30,Wide,,,,,,,,,,,
Assist,189871,25000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,Gringo Colombres,Unsuccessful,,
Knock In (1),236206,40000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Knock In,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,Santiago Toccalino,,,,,,,,,,
Shot At Goal (2),240069,35000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gonzalo Ferrari,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,76;24,Attacking 30,Wide,,,,,,,,,,,
Knock In (2),284154,40000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,Knock In,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,,
Shot At Goal (3),391788,35000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Tomas Garcia del Rio,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,107;25,Attacking 30,Blocked,,,,,,,,,,,
Shot Block,420925,10000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,,,,,,,,,Shot Block,
Non Call,428374,20000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,,Search Livestream,,Group,Team,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,,Non Call,Right of Way,,,,,,,,
Shot At Goal (4),415845,35000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Mateo Vallejos,Search Livestream,,Group,Patagones,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,Shot At Goal,87;35,Attacking 30,Wide,,,,,,,,,,,
Knock In (3),482486,40000,Live,Chukka 1,International Polo Club,Palm Beach Equine vs Patagones,Unknown,January 09. 2020,Gringo Colombres,Search Livestream,Knock In,Group,Palm Beach Equine,Ronnie Hayes,,Joe Barry Cup,Hector Galindo,George Olivas,2020,,,,,Gonzalo Ferrari,,,,,,,,,,
