Name,Position,Duration,Tournament,Third Umpire,Instant Replay Official,Set Play,Chukka,Match Date,Umpire 2,Club,Game,Camera Angle,Year,Stage,Search Event,Umpire 1,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Goal,Penalty Block,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Highlight Reel
Throw-in,854766,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Park Place win throw-in,Juan Britos,Park Place,,,,,,,,,,,,,,,,,,
Game Length,857666,5125474,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,,Team,Game Length,,,,,,,,,,,,,,,,,
Chukka Length,857900,530566,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Shot At Goal,860766,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,Shot At Goal,Attacking 30,66;30,Blocked,,,,,,,,,,,,,
Shot At Goal (1),871766,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,Shot At Goal,Attacking 30,64;24,Goal,,,,,,,,,,,,,
Goal Park Place,873966,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,,Attacking 30,73;2,,Goal Park Place,,,,,,,,,,,,
Shot Block,885766,10000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,Shot Block,,,,,,,,,,,
Shot At Goal (2),925700,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,Shot At Goal,Attacking 30,72;35,Wide,,,,,,,,,,,,,
Throw-in (1),926666,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Park Place win throw-in,Alfredo Bigatti,Park Place,,,,,,,,,,,,,,,,,,
Knock In,969633,40000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Knock In,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,Gonzalito Pieres,,,,,,,,,,
Non Call,984766,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,,Team,,,,,,,,,Non Call,Uneven Ride-Off,,,,,,,,
Foul,991233,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,,Defending Half,112;158,,,,,Foul,Crossing,Penalty 60 yards,22;166,76;177,,,,,
Foul Received,991233,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,,Attacking Half,45;138,,,,,Foul Received,Crossing,Penalty 60 yards,,,,,,,
Goal Pilot,1043100,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,Attacking 30,78;4,,Goal Pilot,,,,,,,,,,,,
Penalty 60 yards,1060333,15000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Shot At Goal (3),1087733,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,Shot At Goal,Attacking 30,93;8,Wide,,,,,,,,,,,,,
Throw-in (2),1091533,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Park Place win throw-in,Alfredo Bigatti,Park Place,,,,,,,,,,,,,,,,,,
Assist,1102633,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,,,,,,,,,,,,,,,Unsuccessful,Alfredo Bigatti,
Knock In (1),1135733,40000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Knock In,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (1),1219666,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Felipe Viana,Park Place,,,Attacking 30,87;17,,,,,Foul,Right of Way,Penalty 5,76;102,19;35,,,,,
Foul Received (1),1219666,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,,Defending 30,66;281,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5,1252166,30000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Penalty 5,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (4),1279000,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Alfredo Bigatti,Park Place,,Shot At Goal,Attacking 30,87;20,Wide,,,,,,,,,,,,,
Assist (1),1294000,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,,,,,,,,,,,,,,,Unsuccessful,Juan Britos,
Knock In (2),1323233,40000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Knock In,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (2),1370066,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Juan Britos,Park Place,,,Defending Half,147;216,,,,,Foul,Blocking,Penalty 60 yards,149;233,69;244,,,,,
Foul Received (2),1370066,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 1,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,,Attacking Half,8;94,,,,,Foul Received,Blocking,Penalty 60 yards,,,,,,,
Goal Pilot (1),1561166,35000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 2,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,Attacking 30,71;3,,Goal Pilot,,,,,,,,,,,,
Penalty 60 yards (1),1578933,15000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 2,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Facundo Pieres,Pilot,,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Chukka Length (1),1583333,333400,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 2,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,,Team,Chukka Length,,,,,,,,,,,,,,,,,
Throw-in (3),1610133,20000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,Throw-in,Chukka 2,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul Received (3),1632366,25000,USPA Gold Cup,Hector Galindo,Kevin Fawcett,,Chukka 2,February 25. 2020,Julian Appleby,International Polo Club,Park Place vs Pilot,Live,2020,Group,Search Livestream,Ka'aina DeCoite,,Gonzalito Pieres,Pilot,,,Defending 30,94;289,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
