Name,Position,Duration,Camera Angle,Umpire 2,Instant Replay Official,Search Event,Club,Stage,Game,Tournament,Match Date,Umpire 1,Third Umpire,Year,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalty Block,Goal,Penalties,Penalty Outcome,Highlight Reel
Game Length,300366,5484400,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Game Length,,,,,,,,,,,,,,,,,,,,,
Throw-in,300366,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,Throw-in,Park Place win throw-in,Juan Britos,,,,,,,,,,,,,,,,,
Chukka Length,300766,667400,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,
Shot At Goal,394133,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,Shot At Goal,Miss Hit,Attacking 60,85;47,,,,,,,,,,,,,
Shot At Goal (1),401033,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Joaquin Panelo,Shot At Goal,Wide,Attacking 30,94;15,,,,,,,,,,,,,
Assist,419862,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Alfredo Bigatti,,,,,Unsuccessful,Alfredo Bigatti,,,,,,,,,,,
Knock In,442700,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Knock In,,Ignacio Toccalino,,,,,,,Sapo Caset,,,,,,,,,,
Foul,473300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 1,,,Joaquin Panelo,,,Defending Half,26;192,,,,Foul,Right of Way,Penalty 5,121;185,50;193,,,,,
Foul Received,473300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,,,Matias Gonzalez,,,Attacking Half,121;115,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Penalty 5,520433,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 1,Penalty 5,,Sapo Caset,,,,,,,,,,,,,,,,,
