Name,Position,Duration,Umpire 1,Umpire 2,Stage,Match Date,Game,Tournament,Chukka,Set Play,Third Umpire,Year,Club,Search Event,Camera Angle,Instant Replay Official,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Foul,Foul Type,Assist Outcome,Assist,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Highlight Reel,Collision
Throw-in,480533,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Benjamin Avendano,Patagones,,,,,,,,,,,,,,,,,,,
Game Length,484266,7056033,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Game Length,,,,,,,,,,,,,,,,,,
Chukka Length,484933,736766,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,509633,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,Shot At Goal,Goal,69;22,Attacking 30,,,,,,,,,,,,,,
Goal Pilot,511433,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,80;7,Attacking 30,Goal Pilot,,,,,,,,,,,,,
Throw-in (1),573600,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Shot At Goal (1),599400,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,Shot At Goal,Goal,65;25,Attacking 30,,,,,,,,,,,,,,
Goal Patagones,601766,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,,,71;6,Attacking 30,Goal Patagones,,,,,,,,,,,,,
Non Call,614366,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,,,,,,,Non Call,Blocking,,,,,,,,,,,
Assist,618433,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Successful,Tomas Garcia Del Rio,,,,,,,,,
Shot At Goal (2),647066,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,Shot At Goal,Goal,86;42,Attacking 60,,,,,,,,,,,,,,
Goal Patagones (1),649666,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,,,80;6,Attacking 30,Goal Patagones,,,,,,,,,,,,,
Throw-in (2),659800,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Assist (1),665400,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Successful,Tomas Garcia Del Rio,,,,,,,,,
Throw-in (3),708666,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Foul,720200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Lucas Escobar,Pilot,,,,146;54,Attacking 60,,Foul,Reaching,,,Penalty 5B,148;62,75;58,,,,,,
Foul Received,720200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,6;240,Defending 60,,Foul Received,Reaching,,,Penalty 5B,,,,,,,,
Penalty 5b,810900,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5b,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Foul (1),822500,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalo de la Fuente,Pilot,,,,61;275,Defending 30,,Foul,Right of Way,,,Penalty 30 yards,91;203,54;252,,,,,,
Foul Received (1),822500,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,89;25,Attacking 30,,Foul Received,Right of Way,,,Penalty 30 yards,,,,,,,,
Goal Patagones (2),827733,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,Goal Patagones,,,,,,,,,,,,,
Penalty 30 yards,846933,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Penalty 5b (1),896900,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5b,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Foul (2),909566,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,146;102,Attacking Half,,Foul,Blocking,,,Penalty 5,148;139,68;93,,,,,,
Foul Received (2),909566,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,5;208,Defending Half,,Foul Received,Blocking,,,Penalty 5,,,,,,,,
Shot At Goal (3),927100,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,Shot At Goal,Post,5;53,Attacking 60,,,,,,,,,,,,,,
Penalty 5,947066,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
