Name,Position,Duration,Tournament,Stage,Game,Match Date,Umpire 1,Umpire 2,Year,Search Event,Camera Angle,Third Umpire,Club,Chukka,Set Play,Instant Replay Official,Player,Team,Throw-in Outcome,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Penalty Block,Knock-in Player 2,Collision
Throw-in,128833,20000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,Throw-in,Kevin Fawcett,Santiago Wulff,Patagones,Patagones win throw-in,,,,,,,,,,,,,,,,,,,
Game Length,131766,5834933,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,,,Kevin Fawcett,,Team,,,,,,,,,,,,,,,,,,,,
Chukka Length,131966,666000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,142600,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,Shot At Goal,Goal,71;11,Attacking 30,,,,,,,,,,,,,,
Goal Patagones,143833,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,,,72;6,Attacking 30,Goal Patagones,,,,,,,,,,,,,
Shot At Goal (1),191533,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,Santiago Wulff,Patagones,,,Shot At Goal,Goal,54;34,Attacking 30,,,,,,,,,,,,,,
Goal Patagones (1),194300,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,Santiago Wulff,Patagones,,,,,78;7,Attacking 30,Goal Patagones,Goals,,,,,,,,,,,,
Throw-in (1),203200,20000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,Throw-in,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,Patagones win throw-in,,,,,,,,,,,,,,,,,,,
Assist,209300,25000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,,,,,,,Successful,Tomas Garcia Del Rio,,,,,,,,,,
Shot At Goal (2),251033,35000,Ylvisaker Cup,Group,Patagones vs Stable Door Polo,Janurary 17. 2020,Kimo Huddleston,Ka'aina DeCoite,2020,Search Livestream,Live,Darrell Schwetz,International Polo Club,Chukka 1,,Kevin Fawcett,Tomas Garcia Del Rio,Patagones,,,Shot At Goal,Goal,73;20,Attacking 30,,,,,,,,,,,,,,
