Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Throw-in,842300,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 1,Pilot win throw-in,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal,828366,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Facundo Pieres,Pilot,Shot At Goal,67;25,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Pilot,830266,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Facundo Pieres,Pilot,,73;6,Attacking 30,,Goal Pilot,Goals,,,,,,,,,,,,
Throw-in (1),886066,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 1,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (1),874300,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,Shot At Goal,87;25,Attacking 30,Wide,,,,,,,,,,,,,,
Assist,891000,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Ignacio Toccalino,Tonkawa,,,,,,,Unsuccessful,Ignacio Toccalino,,,,,,,,,,
Knock In,919633,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 1,,Facundo Pieres,Pilot,,,,,,,,,Gonzalito Pieres,,,,,,,,,
Shot At Goal (2),924733,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Facundo Pieres,Pilot,Shot At Goal,79;75,Attacking 60,Blocked,,,,,,,,,,,,,,
Shot Block,950233,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,,,,,,,,,,Shot Block,,,,,,,,
Non Call,945166,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,,Team,,,,,,,,,,,Non Call,Right of Way,,,,,,
Shot At Goal (3),930266,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Facundo Pieres,Pilot,Shot At Goal,54;26,Attacking 30,Wide,,,,,,,,,,,,,,
Knock In (1),976200,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 1,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Foul,1019866,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Curtis Pilot,Pilot,,112;249,Defending 60,,,,,,,,Foul,Crossing,Penalty 30 yards,41;222,141;199,,,
Foul Received,1019866,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,,21;58,Attacking 60,,,,,,,,Foul Received,Crossing,Penalty 30 yards,,,,,
Penalty 30 yards,1084166,15000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Goal Tonkawa,1065300,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,,78;6,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Throw-in (2),1117100,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 1,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,
Foul (1),1149666,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Lucas Escobar,Pilot,,40;113,Attacking Half,,,,,,,,Foul,Blocking,Penalty 5,140;163,64;102,,,
Foul Received (1),1149666,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,,105;184,Defending Half,,,,,,,,Foul Received,Blocking,Penalty 5,,,,,
Penalty 5,1214000,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 1,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (4),1194433,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,Sapo Caset,Tonkawa,Shot At Goal,80;102,Attacking Half,Wide,,,,,,,,,,,,,,
Knock In (2),1240800,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 1,,Gonzalito Pieres,Pilot,,,,,,,,,Facundo Pieres,,,,,,,,,
