Name,Position,Duration,Camera Angle,Match Date,Umpire 1,Search Event,Stage,Tournament,Third Umpire,Club,Umpire 2,Instant Replay Official,Game,Team,Year,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Foul,Location,General Field Area,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Penalty Block,Goal,Highlight Reel
Chukka Length,743866,835705,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Team,2020,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,
Game Length,743866,5709633,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Team,2020,Game Length,,,,,,,,,,,,,,,,,,,,,
Throw-in,743866,20000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,Throw-in,Pilot win throw-in,Facundo Pieres,,,,,,,,,,,,,,,,,
Foul,751966,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 1,,,Alfredo Bigatti,Foul,21;183,Defending Half,Right of Way,Penalty 60 yards,23;158,119;171,,,,,,,,,,
Foul Received,751966,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,,,Curtis Pilot,Foul Received,123;116,Attacking Half,Right of Way,Penalty 60 yards,,,,,,,,,,,,
Penalty 60 yards,819625,15000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,,,Facundo Pieres,,,,,,,,Penalty 60 yards,Wide,,,,,,,,
Knock In,839233,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 1,Knock In,,Joaquin Panelo,,,,,,,,,,Alfredo Bigatti,,,,,,,
Shot At Goal,851466,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 1,,,Juan Britos,,69;24,Attacking 30,,,,,,,,Shot At Goal,Blocked,,,,,
Assist,868766,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 1,,,Alfredo Bigatti,,,,,,,,,,,,,Unsuccessful,Alfredo Bigatti,,,
Shot Block,878066,10000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,,,Facundo Pieres,,,,,,,,,,,,,,,Shot Block,,
Safety 60,966233,15000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 1,,,Juan Britos,,,,,,,,Safety 60,Wide,,,,,,,,
Knock In (1),985833,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,Knock In,,Facundo Pieres,,,,,,,,,,Gonzalito Pieres,,,,,,,
Shot At Goal (1),987033,35000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,,,Facundo Pieres,,37;94,Attacking Half,,,,,,,,Shot At Goal,Wide,,,,,
Assist (1),1005566,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,,,Gonzalito Pieres,,,,,,,,,,,,,Unsuccessful,Gonzalito Pieres,,,
Knock In (2),1034966,40000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Park Place,2020,,Chukka 1,Knock In,,Joaquin Panelo,,,,,,,,,,Alfredo Bigatti,,,,,,,
Foul (1),1070300,25000,Live,March 14. 2020,Unknown,Search Livestream,Quarter Final,USPA Gold Cup,Unknown,International Polo Club,Unknown,Unknown,Pilot vs. Park Place,Pilot,2020,,Chukka 1,,,Facundo Pieres,Foul,127;211,Defending Half,Right of Way,Penalty 60 yards,130;203,57;188,,,,,,,,,,
