Name,Position,Duration,Camera Angle,Chukka,Game,Instant Replay Official,Match Date,Player,Search Event,Set Play,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Year,Club,Country,Tournament Handicap,Foul,Foul Outcome,Foul Type,General Field Area,Location,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Goal,Assist,Assist Outcome,Penalty Block,Penalties,Penalty Outcome,Highlight Reel
Throw-in (1),167539,20000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Juan Mujica,Search Livestream,Throw-in,Group,Cacheko Polo,Kevin Fawcett,Cacheko Polo win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Foul (1),189770,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Juan Mujica,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5,Riding Into Shot,Attacking Half,41;99,,,,,,,,,,
Foul Received (1),189770,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5,Riding Into Shot,Defending Half,103;197,,,,,,,,,,
Penalty 5 (1),228299,30000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sterling Giannico,Search Livestream,Penalty 5,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Shot At Goal (1),235598,35000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sterling Giannico,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,129;21,Shot At Goal,Wide,,,,,,,,
Knock In (1),281731,40000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,Knock In,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,Keko Magrini,,,,,,,
Foul (2),371885,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5,Reaching,Attacking 60,144;53,,,,,,,,,,
Foul Received (2),371885,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5,Reaching,Defending 60,6;253,,,,,,,,,,
Penalty 5 (2),401272,30000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,Penalty 5,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Shot At Goal (2),450847,35000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sterling Giannico,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,76;12,Shot At Goal,Goal,,,,,,,,
Goal SD Farms (1),451481,35000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sterling Giannico,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,74;6,,,,Goal SD Farms,,,,,,
Assist (1),466481,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,Carlitos Gracida,Successful,,,,
Throw-in (2),526497,20000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,Throw-in,Group,SD Farms,Kevin Fawcett,SD Farms win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Non Call (1),556135,20000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,,Search Livestream,,Group,Team,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Non Call,,1 Meeting 2,,,,,,,,,,,,
Non Call (2),644323,20000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,,Search Livestream,,Group,Team,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Non Call,,Dangerous Riding,Attacking Half,6;84,,,,,,,,,,
Foul (3),650030,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5,Dangerous Riding,Defending Half,146;224,,,,,,,,,,
Foul Received (3),650030,25000,Live,Chukka 1,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5,Dangerous Riding,Attacking Half,3;77,,,,,,,,,,
Shot At Goal (3),683746,35000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking Half,48;80,Shot At Goal,Blocked,,,,,,,,
Penalty 5 (3),704542,30000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,Penalty 5,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Shot Block (1),713718,10000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,78;4,,,,,,,Shot Block,,,
Foul (4),742589,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5B,Dangerous Use of Mallet,Attacking Half,4;94,,,,,,,,,,
Foul Received (4),742589,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Ignacio Arbelbide,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5B,Dangerous Use of Mallet,Defending Half,146;206,,,,,,,,,,
Penalty 5b (1),809947,30000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,Penalty 5b,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Foul (5),810156,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 30 yards,Dangerous Riding,Defending Half,48;224,,,,,,,,,,
Foul Received (5),810156,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 30 yards,Dangerous Riding,Attacking Half,100;83,,,,,,,,,,
Goal Cacheko Polo (1),850212,35000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,75;3,,,,Goal Cacheko Polo,,,,,,
Penalty 30 yards (1),868644,15000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Keko Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,Penalty 30 yards,Goal,
Shot At Goal (4),903065,35000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sayyu Dantata,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,85;18,Shot At Goal,Goal,,,,,,,,
Goal SD Farms (2),904700,35000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sayyu Dantata,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,74;3,,,,Goal SD Farms,,,,,,Goals
Throw-in (3),910314,20000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,Throw-in,Group,SD Farms,Kevin Fawcett,SD Farms win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Assist (2),919700,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,Peco Polledo,Successful,,,,
Throw-in (4),962900,20000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sterling Giannico,Search Livestream,Throw-in,Group,SD Farms,Kevin Fawcett,SD Farms win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Non Call (3),970349,20000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,,Search Livestream,,Group,Team,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Non Call,,Dangerous Riding,Defending Half,76;209,,,,,,,,,,
Foul (6),983596,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul,Penalty 5B,Dangerous Riding,Attacking Half,15;83,,,,,,,,,,
Foul Received (6),983596,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Foul Received,Penalty 5B,Dangerous Riding,Defending Half,139;221,,,,,,,,,,
Yellow Card (1),1063333,10000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,Yellow Card,Reversed Call,Improper Procedure,,,,,,,,,,,,
Throw-in (5),1075879,20000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Carlitos Gracida,Search Livestream,Throw-in,Group,SD Farms,Kevin Fawcett,SD Farms win throw-in,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
Safety 60 (1),1160068,15000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Peco Polledo,Search Livestream,,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,Safety 60,Wide,
Knock In (2),1179982,40000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,Knock In,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,Ignacio Arbelbide,,,,,,,
Shot At Goal (5),1180209,35000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Matias Magrini,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,Attacking 30,91;17,Shot At Goal,Miss Hit,,,,,,,,
Assist (3),1195209,25000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Ignacio Arbelbide,Search Livestream,,Group,Cacheko Polo,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,Ignacio Arbelbide,Unsuccessful,,,,
Knock In (3),1225761,40000,Live,Chukka 2,SD Farm vs Cacheko Polo,Unknown,January 22. 2021,Sterling Giannico,Search Livestream,Knock In,Group,SD Farms,Kevin Fawcett,,Palmetto Challenge,Kimo Huddleston,Martin Pasqual,2021,Port Mayaca Polo Club,USA,14,,,,,,,,,,,,,,,
