Name,Position,Duration,Game,Tournament,Umpire 1,Stage,Match Date,Camera Angle,Club,Instant Replay Official,Umpire 2,Third Umpire,Search Event,Year,Team,Chukka Length,Chukka,Shot At Goal,Location,General Field Area,Player,Shot At Goal Outcome,Goal,Highlight Reel,Set Play,Throw-in Outcome,Knock-in Player 2,Foul,Umpire Focal,Umpire Trailing,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Assist Outcome,Assist,Penalty Block
Game Length,538966,6093342,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Game Length,,,,,,,,,,,,,,,,,,,,,
Shot At Goal,538966,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,Shot At Goal,53;40,Attacking 60,Luis Escobar,Goal,,,,,,,,,,,,,,,
Goal Santa Clara,544066,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Luis Escobar,,Goal Santa Clara,Goals,,,,,,,,,,,,,
Throw-in,556487,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Luis Escobar,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Chukka Length,559466,419884,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,
Throw-in (1),596800,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Nachi Du Plessis,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (1),606266,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,Shot At Goal,62;85,Attacking Half,Matias Magrini,Wide,,,,,,,,,,,,,,,
Knock In,655500,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Jeff Hall,,,,Knock In,,Polito Pieres,,,,,,,,,,
Foul,667500,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,107;133,Attacking Half,Luis Escobar,,,,,,,Foul,32;130,131;163,Right of Way,Penalty 40 yards,,,,,
Foul Received,669166,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,112;134,Attacking Half,Santiago Gomez Romero,,,,,,,Foul Received,,,Right of Way,Penalty 40 yards,,,,,
Goal La Indiana,750333,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,73;1,Attacking 30,Polito Pieres,,Goal La Indiana,,,,,,,,,,,,,,
Penalty 40 yards,767666,15000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Polito Pieres,,,,,,,,,,,,Penalty 40 yards,Goal,,,
Throw-in (2),802766,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Luis Escobar,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (2),823366,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,Shot At Goal,70;17,Attacking 30,Jeff Hall,Goal,,,,,,,,,,,,,,,
Goal La Indiana (1),824500,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,70;6,Attacking 30,Jeff Hall,,Goal La Indiana,,,,,,,,,,,,,,
Assist,839500,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Polito Pieres,,,,,,,,,,,,,,Successful,Polito Pieres,
Throw-in (3),886366,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,,,Henry Porter,,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Non Call,912300,20000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,,Chukka 1,,,,,,,,,,,Non Call,,,Dangerous Riding,,,,,,
Shot At Goal (3),932433,35000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,Shot At Goal,24;85,Attacking Half,Nachi Du Plessis,Wide,,,,,,,,,,,,,,,
Injury Time,979350,62882,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Team,Injury Time,Chukka 1,,,,,,,,,,,,,,,,,,,,
Knock In (1),1038396,40000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,,,Jeff Hall,,,,Knock In,,Polito Pieres,,,,,,,,,,
Foul (1),1040000,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,Santa Clara,,Chukka 1,,8;63,Attacking 60,Henry Porter,,,,,,,Foul,8;13,80;72,Riding Into Shot,Penalty 60 yards,,,,,
Foul Received (1),1040000,25000,La Indiana vs Santa Clara,USPA Gold Cup,Unknown,Group,March 08. 2020,Live,International Polo Club,Unknown,Unknown,Unknown,Search Livestream,2020,La Indiana,,Chukka 1,,146;226,Defending Half,Polito Pieres,,,,,,,Foul Received,,,Riding Into Shot,Penalty 60 yards,,,,,
