Name,Position,Duration,Camera Angle,Chukka,Club,Game,General Field Area,Goal,Instant Replay Official,Location,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Shot At Goal,Shot At Goal Outcome,Set Play,Throw-in Outcome,Assist,Assist Outcome,Highlight Reel,Foul,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Chukka Length
Goal Tonkawa,0,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,78;3,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Shot At Goal,0,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,76;18,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Throw-in,174,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Assist,10634,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Matt Coppola,Successful,,,,,,,,,
Throw-in (1),57773,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Ignatius Du Plessis,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Shot At Goal (1),74302,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,73;17,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (1),76058,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,74;3,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Assist (1),91058,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Jeff Hildebrand,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Jeff Hildebrand,Successful,,,,,,,,,
Throw-in (2),135023,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Shot At Goal (2),161984,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,76;13,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (2),163267,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,72;3,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,Goals,,,,,,,,
Shot At Goal (3),207429,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,71;21,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (3),209185,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,76;2,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,Goals,,,,,,,,
Throw-in (3),217236,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Matt Coppola,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Shot At Goal (4),254731,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,77;17,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Shot At Goal,Goal,,,,,,,,,,,,,
Goal Tonkawa (4),256757,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Tonkawa,Unknown,73;2,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
Throw-in (4),265855,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Ignacio Toccalino,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Tonkawa win throw-in,,,,,,,,,,,
Assist (2),273648,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Jeff Hildebrand,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,Jeff Hildebrand,Successful,,,,,,,,,
Throw-in (5),319538,20000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,,,Unknown,,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Throw-in,Santa Clara win throw-in,,,,,,,,,,,
Foul,336164,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Defending 30,,Unknown,57;280,February 09. 2020,Sapo Caset,Search LiveStream,Group,Tonkawa,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul,Penalty 30 yards,Dangerous Riding,,,,,
Foul Received,336164,25000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,,Unknown,94;20,February 09. 2020,Matias Magrini,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,Foul Received,Penalty 30 yards,Dangerous Riding,,,,,
Goal Santa Clara,338325,35000,Live,Chukka 1,International Polo Club,Santa Clara vs Tonkawa,Attacking 30,Goal Santa Clara,Unknown,75;3,February 09. 2020,Luis Escobar,Search LiveStream,Group,Santa Clara,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,
