Name,Position,Duration,Match Date,Tournament,Game,Stage,Search Event,Umpire 1,Umpire 2,Club,Chukka Length,Year,Chukka,Instant Replay Official,Third Umpire,Camera Angle,Team,Set Play,Throw-in Outcome,Player,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Goal,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Knock-in Player 2,Highlight Reel,Penalties,Penalty Outcome,Penalty Block
Chukka Length,355300,513533,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,Chukka Length,2020,Chukka 1,Unknown,Unknown,Live,Team,,,,,,,,,,,,,,,,,,,,
Game Length,355300,5889733,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,Game Length,2020,,Unknown,Unknown,Live,Team,,,,,,,,,,,,,,,,,,,,
Throw-in,355300,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,Throw-in,Santa Clara win throw-in,Matias Magrini,,,,,,,,,,,,,,,,,
Shot At Goal,363000,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,Shot At Goal,Attacking 30,123;22,Goal,,,,,,,,,,,,,
Goal Daily Racing Form,365366,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Attacking 30,75;7,,Goal Daily Racing Form,,,,,,,,,,,,
Assist,381366,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Costi Caset,,,,,,Successful,Costi Caset,,,,,,,,,,
Throw-in (1),419433,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,Throw-in,Santa Clara win throw-in,Matias Magrini,,,,,,,,,,,,,,,,,
Foul,431066,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Jared Zenni,,Defending Half,4;183,,,,,Foul,Dangerous Riding,Penalty 5,10;194,89;195,,,,,
Foul Received,431066,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,,,Matias Magrini,,Attacking Half,140;127,,,,,Foul Received,Dangerous Riding,Penalty 5,,,,,,,
Shot At Goal (1),481600,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,,,Matias Magrini,Shot At Goal,Attacking 60,119;43,Wide,,,,,,,,,,,,,
Penalty 5,485900,30000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,Penalty 5,,Nachi Du Plessis,,,,,,,,,,,,,,,,,
Knock In,531300,40000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,Knock In,,Tommy Collingwood,,,,,,,,,,,,,,,,,
Shot At Goal (2),555966,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Agustin Obregon,Shot At Goal,Attacking 30,57;12,Miss Hit,,,,,,,,,,,,,
Shot At Goal (3),558666,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Costi Caset,Shot At Goal,Attacking 30,60;9,Wide,,,,,,,,,,,,,
Non Call,568433,20000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Team,,,,,,,,,,,Non Call,Right of Way,,,,,,,,
Assist (1),575266,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Daily Racing Form,,,Tommy Collingwood,,,,,,Unsuccessful,Tommy Collingwood,,,,,,,,,,
Knock In (1),603800,40000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,Knock In,,Matias Magrini,,,,,,,,,,,,,Nachi Du Plessis,,,,
Shot At Goal (4),669866,35000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,,,Henry Porter,Shot At Goal,Attacking 30,85;21,Wide,,,,,,,,,,,,,
Assist (2),686300,25000,March 14. 2020,USPA Gold Cup,Santa Clara vs. Daily Racing Form,Quarter Final,Search Livestream,Unknown,Unknown,International Polo Club,,2020,Chukka 1,Unknown,Unknown,Live,Santa Clara,,,Nachi Du Plessis,,,,,,Unsuccessful,Nachi Du Plessis,,,,,,,,,,
