Name,Position,Duration,Camera Angle,Club,Instant Replay Official,Tournament,Year,Chukka,Third Umpire,Umpire 2,Umpire 1,Search Event,Game,Match Date,Stage,Set Play,Throw-in Outcome,Player,Team,Chukka Length,Foul,Foul Type,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Assist Outcome,Assist,Knock-in Player 2,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Highlight Reel,Penalty Block,Collision
Throw-in,981633,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Daily Racing Form win throw-in,Agustin Obregon,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Chukka Length,981633,533494,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Game Length,981633,6767933,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Game Length,,,,,,,,,,,,,,,,,,
Non Call,998400,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,,Non Call,Right of Way,,,,,,,,,,,,,,,,
Shot At Goal,1077133,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,Shot At Goal,Goal,82;20,Attacking 30,,,,,,,,,,,,
Goal Postage Stamp Farm,1078800,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,73;4,Attacking 30,Goal Postage Stamp Farm,,,,,,,,,,,
Assist,1095000,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,Successful,Mariano Gonzalez Jr.,,,,,,,,,
Throw-in (1),1155833,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Felipe Tro,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Shot At Goal (1),1162166,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,Shot At Goal,Wide,7;104,Attacking Half,,,,,,,,,,,,
Knock In,1213566,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,Mariano Aguerre,,,,,,,,
Shot At Goal (2),1245333,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Costi Caset,Daily Racing Form,,,,Shot At Goal,Goal,80;27,Attacking 30,,,,,,,,,,,,
