Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Location,General Field Area,Goal,Set Play,Throw-in Outcome,Tournament,Country,Umpire 2,Umpire 1,Search Event,Club,Stage,Match Date,Game,Instant Replay Official,Camera Angle,Third Umpire,Tournament Handicap,Penalties,Year,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Penalty Block,Assist,Assist Outcome,Highlight Reel,Collision
Throw-in,393000,20000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Knock In,438133,40000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Non Call,444400,20000,Chukka 1,Team,,Non Call,,Riding Into Shot,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received,493533,25000,Chukka 1,Palm Beach Equine,Robbie Bilbao,Foul Received,Penalty 5,Reaching,,,82;277,Defending 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul,493533,25000,Chukka 1,Tamera,Lucas Escobar,Foul,Penalty 5,Reaching,30;72,73;101,69;18,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5,532833,30000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (1),563933,25000,Chukka 1,Palm Beach Equine,Gringo Colombres,Foul,Penalty 60 yards,Right of Way,82;170,52;195,46;174,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (1),563933,25000,Chukka 1,Tamera,Diego Cavanagh,Foul Received,Penalty 60 yards,Right of Way,,,107;124,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 60 yards,649600,15000,Chukka 1,Tamera,Diego Cavanagh,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 60 yards,2021,Blocked,,,,,,,,
Penalty Block,658233,10000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,Penalty Block,,,,
Foul Received (2),704833,25000,Chukka 1,Palm Beach Equine,Costi Caset,Foul Received,Penalty 5,Right of Way,,,145;88,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (2),704833,25000,Chukka 1,Tamera,Diego Cavanagh,Foul,Penalty 5,Right of Way,6;221,50;253,5;212,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5 (1),784416,30000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (3),809000,25000,Chukka 1,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 60 yards,Reaching,,,35;85,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
